[3509, 2480]
[paragraph, [359.0, 384.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 436.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 489.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 541.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 594.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 646.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 699.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 751.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 804.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 856.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 909.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 961.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1014.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1066.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1119.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1171.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1224.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1276.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1329.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1381.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1434.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1486.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1539.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1591.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1644.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1696.5, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [359.0, 1749.0, 1768.0, 52.5], shoonya_1s3E7UA0UVR91S, 5724242]
[paragraph, [353.0, 1828.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 1880.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 1933.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 1985.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2038.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2090.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2143.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2195.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2248.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2300.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2353.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2405.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2458.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2510.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2563.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2615.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2668.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2720.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2773.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2825.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2878.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2930.5, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
[paragraph, [353.0, 2983.0, 1770.0, 52.5], shoonya_3sTS9ES2SIMUP9, 5724242]
