[1818, 1374]
[folio, [643.0, 111.0, 88.0, 36.0], shoonya_0sW5YTGN0Y48G4, 5682767]
[paragraph, [108.0, 183.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 219.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 255.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 291.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 327.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 363.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 399.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 435.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 471.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 507.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 543.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 579.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 615.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 651.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 687.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 723.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 759.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 795.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 831.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 867.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 903.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 939.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 975.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1011.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1047.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1083.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1119.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1155.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1191.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1227.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1263.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1299.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1335.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1371.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1407.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1443.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1479.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1515.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1551.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1587.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1623.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [108.0, 1659.0, 569.0, 36.0], nZovY7fx7k, 5682767]
[paragraph, [696.0, 183.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
[paragraph, [696.0, 219.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
[paragraph, [696.0, 255.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
[paragraph, [696.0, 291.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
[paragraph, [696.0, 327.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
[paragraph, [696.0, 363.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
[paragraph, [696.0, 399.0, 567.0, 36.0], TZa_Xfw3Tt, 5682767]
