[1763, 1275]
[quote, [642.0, 63.0, 604.0, 36.0], BGR33H1bd7, 5713365]
[quote, [642.0, 99.0, 604.0, 36.0], BGR33H1bd7, 5713365]
[quote, [642.0, 135.0, 604.0, 36.0], BGR33H1bd7, 5713365]
[paragraph, [20.0, 68.0, 607.0, 36.0], pMf0lNuaYQ, 5713365]
[paragraph, [20.0, 104.0, 607.0, 36.0], pMf0lNuaYQ, 5713365]
[paragraph, [20.0, 140.0, 607.0, 36.0], pMf0lNuaYQ, 5713365]
[quote, [645.0, 197.0, 610.0, 36.0], 1KHlm2DNUR, 5713365]
[quote, [645.0, 233.0, 610.0, 36.0], 1KHlm2DNUR, 5713365]
[paragraph, [22.0, 207.0, 602.0, 36.0], dpVjK_yIm8, 5713365]
[paragraph, [22.0, 247.0, 608.0, 36.0], nu_XsN9Gff, 5713365]
[quote, [646.0, 299.0, 610.0, 36.0], QZtDGPSSHE, 5713365]
[paragraph, [73.0, 312.0, 408.0, 36.0], tTxvZzQtBA, 5713365]
[quote, [33.0, 350.0, 608.0, 36.0], qA7izCaA2X, 5713365]
[paragraph, [643.0, 361.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 397.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 433.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 469.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 505.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 541.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 577.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [643.0, 613.0, 610.0, 36.0], shoonya_3sER1SQU9BKBFQ, 5713365]
[paragraph, [33.0, 419.0, 607.0, 36.0], rZIZkSiZpW, 5713365]
[paragraph, [33.0, 455.0, 607.0, 36.0], rZIZkSiZpW, 5713365]
[paragraph, [33.0, 491.0, 607.0, 36.0], rZIZkSiZpW, 5713365]
[quote, [58.0, 554.0, 551.0, 36.0], tTd6mw9dfg, 5713365]
[quote, [27.0, 594.0, 604.0, 36.0], 8ROkBreIC9, 5713365]
[paragraph, [639.0, 664.0, 619.0, 36.0], RXy_yxbRtf, 5713365]
[quote, [33.0, 696.0, 597.0, 36.0], 1rFGMLPEJ-, 5713365]
[quote, [33.0, 732.0, 597.0, 36.0], 1rFGMLPEJ-, 5713365]
[quote, [638.0, 734.0, 613.0, 36.0], shoonya_0s7CR22VC3F1DN, 5713365]
[quote, [638.0, 770.0, 613.0, 36.0], shoonya_0s7CR22VC3F1DN, 5713365]
[quote, [638.0, 806.0, 613.0, 36.0], shoonya_0s7CR22VC3F1DN, 5713365]
[paragraph, [43.0, 797.0, 587.0, 36.0], shoonya_6sY33DVI6P018R, 5713365]
[paragraph, [41.0, 864.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [41.0, 900.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [41.0, 936.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [41.0, 972.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [41.0, 1008.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [41.0, 1044.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [41.0, 1080.0, 584.0, 36.0], shoonya_4sNVDTQKAKJED8, 5713365]
[paragraph, [640.0, 864.0, 611.0, 36.0], shoonya_5sOZAZN54W5WLB, 5713365]
[paragraph, [640.0, 900.0, 611.0, 36.0], shoonya_5sOZAZN54W5WLB, 5713365]
[paragraph, [640.0, 936.0, 611.0, 36.0], shoonya_5sOZAZN54W5WLB, 5713365]
[paragraph, [640.0, 1005.0, 609.0, 36.0], shoonya_2sV0BMHKHWUSCF, 5713365]
[paragraph, [640.0, 1041.0, 609.0, 36.0], shoonya_2sV0BMHKHWUSCF, 5713365]
[paragraph, [640.0, 1077.0, 609.0, 36.0], shoonya_2sV0BMHKHWUSCF, 5713365]
[paragraph, [640.0, 1113.0, 609.0, 36.0], shoonya_2sV0BMHKHWUSCF, 5713365]
[paragraph, [33.0, 1149.0, 600.0, 36.0], Z70-0sf5Yv, 5713365]
[paragraph, [637.0, 1173.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1209.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1245.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1281.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1317.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1353.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1389.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1425.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1461.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1497.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1533.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[paragraph, [637.0, 1569.0, 610.0, 36.0], shoonya_1sQW7BMZVUKWHT, 5713365]
[quote, [25.0, 1216.0, 612.0, 36.0], VROtzth5Kl, 5713365]
[quote, [68.0, 1284.0, 223.0, 36.0], C7UdfHciMr, 5713365]
[quote, [43.0, 1358.0, 591.0, 36.0], weuRwMmvyT, 5713365]
[quote, [43.0, 1394.0, 591.0, 36.0], weuRwMmvyT, 5713365]
[quote, [36.0, 1496.0, 604.0, 36.0], -9udSJqkMh, 5713365]
[quote, [36.0, 1532.0, 604.0, 36.0], -9udSJqkMh, 5713365]
[quote, [36.0, 1568.0, 604.0, 36.0], -9udSJqkMh, 5713365]
[quote, [36.0, 1604.0, 604.0, 36.0], -9udSJqkMh, 5713365]
[quote, [36.0, 1640.0, 604.0, 36.0], -9udSJqkMh, 5713365]
[folio, [39.0, 1683.0, 117.0, 36.0], ronndl857N, 5713365]
