[1755, 1240]
[paragraph, [232.0, 229.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 265.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 301.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 337.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 373.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 409.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 445.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 481.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 517.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 553.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 589.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 625.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 661.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 697.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 733.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 769.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 805.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 841.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 877.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 913.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 949.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 985.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1021.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1057.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1093.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1129.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1165.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1201.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1237.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1273.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1309.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1345.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1381.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[paragraph, [232.0, 1417.0, 774.0, 36.0], shoonya_1s8HHCARVAPQMA, 5743906]
[folio, [316.0, 1497.0, 528.0, 36.0], p2AYojbzan, 5743906]
