[3508, 2481]
[contact-info, [624.0, 360.0, 1198.0, 52.5], 8ONKF7YWjD, 6516098]
[contact-info, [624.0, 412.5, 1198.0, 52.5], 8ONKF7YWjD, 6516098]
[section-title, [1027.0, 522.0, 425.0, 93.0], jmJ9uOMYTX, 6516098]
[dateline, [201.0, 910.0, 428.0, 52.5], qIds-lEEXs, 6516098]
[paragraph, [220.0, 1168.0, 273.0, 52.5], 2nyQe1VDid, 6516098]
[paragraph, [235.0, 1301.0, 2040.0, 52.5], -UGxaHBQOX, 6516098]
[paragraph, [235.0, 1353.5, 2040.0, 52.5], -UGxaHBQOX, 6516098]
[paragraph, [235.0, 1406.0, 2040.0, 52.5], -UGxaHBQOX, 6516098]
[paragraph, [235.0, 1458.5, 2040.0, 52.5], -UGxaHBQOX, 6516098]
[paragraph, [235.0, 1511.0, 2040.0, 52.5], -UGxaHBQOX, 6516098]
[paragraph, [211.0, 1662.0, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 1714.5, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 1767.0, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 1819.5, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 1872.0, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 1924.5, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 1977.0, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 2029.5, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 2082.0, 2040.0, 52.5], abgHPJ023m, 6516098]
[paragraph, [211.0, 2134.5, 2040.0, 52.5], abgHPJ023m, 6516098]
[section-title, [214.0, 2370.0, 593.0, 93.0], MYkwk1FmEo, 6516098]
[sub-section-title, [201.0, 2523.0, 518.0, 73.5], 7MWuE9vTf_, 6516098]
[paragraph, [211.0, 2631.0, 2071.0, 52.5], PYepuoz8XV, 6516098]
[paragraph, [211.0, 2683.5, 2071.0, 52.5], PYepuoz8XV, 6516098]
[sub-section-title, [223.0, 2833.0, 422.0, 73.5], vz6sTdF7Xu, 6516098]
[paragraph, [214.0, 2945.0, 642.0, 52.5], a3v-ZM1TIi, 6516098]
[unordered-list, [260.0, 3315.0, 1673.0, 52.5], 0WaW2wE9j2, 6516098]
