[1948, 1214]
[folio, [901.0, 162.0, 153.0, 36.0], 3c7kfY8j88, 5732604]
[paragraph, [115.0, 236.0, 772.0, 36.0], shoonya_3sHGBR34HP7FD6, 5732604]
[paragraph, [115.0, 317.0, 940.0, 36.0], shoonya_7s3C1AE7ARB1NC, 5732604]
[paragraph, [115.0, 353.0, 940.0, 36.0], shoonya_7s3C1AE7ARB1NC, 5732604]
[paragraph, [187.0, 419.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 455.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 491.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 527.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 563.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 599.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 635.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 671.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 707.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [187.0, 743.0, 769.0, 36.0], shoonya_5s8GIAQ6WCHXJ8, 5732604]
[paragraph, [804.0, 794.0, 210.0, 36.0], gUtSVCX4k-, 5732604]
[paragraph, [152.0, 869.0, 765.0, 36.0], shoonya_4s6L783HLJW9B4, 5732604]
[paragraph, [114.0, 936.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 972.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1008.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1044.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1080.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1116.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1152.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1188.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1224.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1260.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [114.0, 1296.0, 941.0, 36.0], shoonya_0sZNWOZ4VJ4UAV, 5732604]
[paragraph, [116.0, 1363.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [116.0, 1399.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [116.0, 1435.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [116.0, 1471.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [116.0, 1507.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [116.0, 1543.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [116.0, 1579.0, 940.0, 36.0], shoonya_1sBQRKM6DENTTE, 5732604]
[paragraph, [118.0, 1635.0, 935.0, 36.0], shoonya_2s7ZE05O91FGXA, 5732604]
[paragraph, [118.0, 1671.0, 935.0, 36.0], shoonya_2s7ZE05O91FGXA, 5732604]
[paragraph, [118.0, 1707.0, 935.0, 36.0], shoonya_2s7ZE05O91FGXA, 5732604]
[paragraph, [118.0, 1743.0, 935.0, 36.0], shoonya_2s7ZE05O91FGXA, 5732604]
[paragraph, [118.0, 1779.0, 935.0, 36.0], shoonya_2s7ZE05O91FGXA, 5732604]
[folio, [515.0, 1846.0, 189.0, 36.0], _qJVeWft6o, 5732604]
