[2175, 1462]
[folio, [126.0, 126.0, 213.0, 36.0], KlGt4qyDk8, 5654883]
[paragraph, [123.0, 236.0, 1184.0, 36.0], shoonya_3sYD6LC96E3ZDH, 5654883]
[paragraph, [123.0, 272.0, 1184.0, 36.0], shoonya_3sYD6LC96E3ZDH, 5654883]
[paragraph, [123.0, 308.0, 1184.0, 36.0], shoonya_3sYD6LC96E3ZDH, 5654883]
[paragraph, [123.0, 344.0, 1184.0, 36.0], shoonya_3sYD6LC96E3ZDH, 5654883]
[paragraph, [123.0, 380.0, 1184.0, 36.0], shoonya_3sYD6LC96E3ZDH, 5654883]
[paragraph, [123.0, 416.0, 1184.0, 36.0], shoonya_3sYD6LC96E3ZDH, 5654883]
[paragraph, [120.0, 503.0, 1193.0, 36.0], shoonya_6s3S627P9Y45VH, 5654883]
[paragraph, [120.0, 539.0, 1193.0, 36.0], shoonya_6s3S627P9Y45VH, 5654883]
[paragraph, [120.0, 575.0, 1193.0, 36.0], shoonya_6s3S627P9Y45VH, 5654883]
[paragraph, [120.0, 611.0, 1193.0, 36.0], shoonya_6s3S627P9Y45VH, 5654883]
[paragraph, [138.0, 675.0, 1179.0, 36.0], shoonya_5s2C2QJ8LFKECS, 5654883]
[paragraph, [138.0, 711.0, 1179.0, 36.0], shoonya_5s2C2QJ8LFKECS, 5654883]
[paragraph, [138.0, 747.0, 1179.0, 36.0], shoonya_5s2C2QJ8LFKECS, 5654883]
[paragraph, [131.0, 844.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 880.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 916.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 952.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 988.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1024.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1060.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1096.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1132.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1168.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1204.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [131.0, 1240.0, 1194.0, 36.0], shoonya_0sZIM1YPAFVRHA, 5654883]
[paragraph, [128.0, 1324.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1360.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1396.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1432.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1468.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1504.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1540.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1576.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1612.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1648.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1684.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [128.0, 1720.0, 1200.0, 36.0], shoonya_1sYKZN5ZD8E5KW, 5654883]
[paragraph, [126.0, 1794.0, 1204.0, 36.0], UWWnibgbbL, 5654883]
[paragraph, [126.0, 1830.0, 1204.0, 36.0], UWWnibgbbL, 5654883]
[paragraph, [126.0, 1866.0, 1204.0, 36.0], UWWnibgbbL, 5654883]
[paragraph, [126.0, 1902.0, 1204.0, 36.0], UWWnibgbbL, 5654883]
[reference, [141.0, 1984.0, 696.0, 36.0], shoonya_4s87I2454ZCTHJ, 5654883]
