[596, 421]
[section-title, [39.0, 43.0, 147.0, 30.0], kpunfVX93K, 6533764]
[paragraph, [16.0, 86.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 104.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 122.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 140.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 158.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 176.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 194.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 212.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [16.0, 230.0, 175.0, 18.0], ZyRlPGKjyn, 6533764]
[paragraph, [28.0, 250.0, 148.0, 18.0], _wvEMuM1lU, 6533764]
[paragraph, [28.0, 268.0, 148.0, 18.0], _wvEMuM1lU, 6533764]
[paragraph, [28.0, 286.0, 148.0, 18.0], _wvEMuM1lU, 6533764]
[paragraph, [205.0, 375.0, 182.0, 18.0], 80ru7sX6cY, 6533764]
[paragraph, [205.0, 393.0, 182.0, 18.0], 80ru7sX6cY, 6533764]
[paragraph, [205.0, 411.0, 182.0, 18.0], 80ru7sX6cY, 6533764]
[paragraph, [211.0, 437.0, 149.0, 18.0], e1sfBDUz5V, 6533764]
[paragraph, [211.0, 455.0, 149.0, 18.0], e1sfBDUz5V, 6533764]
[paragraph, [211.0, 473.0, 149.0, 18.0], e1sfBDUz5V, 6533764]
[paragraph, [211.0, 491.0, 149.0, 18.0], e1sfBDUz5V, 6533764]
