[2339, 1653]
[folio, [196.0, 363.0, 136.0, 36.0], _WRUvSXIiu, 5736205]
[folio, [1190.0, 363.0, 257.0, 36.0], OJ4g4EdFuJ, 5736205]
[paragraph, [202.0, 423.0, 619.0, 36.0], 0k_I0RlRr-, 5736205]
[paragraph, [202.0, 459.0, 619.0, 36.0], 0k_I0RlRr-, 5736205]
[paragraph, [835.0, 423.0, 612.0, 36.0], shoonya_8sZZHVJZ9SR38X, 5736205]
[paragraph, [835.0, 459.0, 612.0, 36.0], shoonya_8sZZHVJZ9SR38X, 5736205]
[sidebar, [1481.0, 483.0, 154.0, 36.0], TvMXCdQO2G, 5736205]
[paragraph, [840.0, 516.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[paragraph, [840.0, 552.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[paragraph, [840.0, 588.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[paragraph, [840.0, 624.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[paragraph, [840.0, 660.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[paragraph, [840.0, 696.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[paragraph, [840.0, 732.0, 608.0, 36.0], shoonya_12sIF5XHOWQ0P0, 5736205]
[author, [524.0, 518.0, 290.0, 36.0], 8PDweNxWE1, 5736205]
[paragraph, [189.0, 615.0, 243.0, 36.0], KeCaSV7eGY, 5736205]
[paragraph, [467.0, 703.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 739.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 775.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 811.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 847.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 883.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 919.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 955.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 991.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [467.0, 1027.0, 347.0, 36.0], shoonya_5sSQFOVSQRWNV9, 5736205]
[paragraph, [839.0, 800.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 836.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 872.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 908.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 944.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 980.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 1016.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 1052.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 1088.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 1124.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [839.0, 1160.0, 610.0, 36.0], shoonya_9sIKNYWIXDJW90, 5736205]
[paragraph, [204.0, 1078.0, 611.0, 36.0], shoonya_3sOKPS7BTM9SNP, 5736205]
[paragraph, [204.0, 1114.0, 611.0, 36.0], shoonya_3sOKPS7BTM9SNP, 5736205]
[paragraph, [204.0, 1150.0, 611.0, 36.0], shoonya_3sOKPS7BTM9SNP, 5736205]
[paragraph, [204.0, 1186.0, 611.0, 36.0], shoonya_3sOKPS7BTM9SNP, 5736205]
[paragraph, [204.0, 1222.0, 611.0, 36.0], shoonya_3sOKPS7BTM9SNP, 5736205]
[paragraph, [204.0, 1258.0, 611.0, 36.0], shoonya_3sOKPS7BTM9SNP, 5736205]
[paragraph, [837.0, 1226.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1262.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1298.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1334.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1370.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1406.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1442.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1478.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1514.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1550.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [837.0, 1586.0, 611.0, 36.0], shoonya_2sYSZ12YNKMGN2, 5736205]
[paragraph, [205.0, 1319.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [205.0, 1355.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [205.0, 1391.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [205.0, 1427.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [205.0, 1463.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [205.0, 1499.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [205.0, 1535.0, 611.0, 36.0], shoonya_1sZ230RNS9OBL7, 5736205]
[paragraph, [204.0, 1594.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [204.0, 1630.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [204.0, 1666.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [204.0, 1702.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [204.0, 1738.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [204.0, 1774.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [204.0, 1810.0, 614.0, 36.0], shoonya_0sCQ54XBK7G57V, 5736205]
[paragraph, [838.0, 1643.0, 608.0, 36.0], shoonya_7sOSUXX4VHVMET, 5736205]
[paragraph, [838.0, 1679.0, 608.0, 36.0], shoonya_7sOSUXX4VHVMET, 5736205]
[paragraph, [838.0, 1715.0, 608.0, 36.0], shoonya_7sOSUXX4VHVMET, 5736205]
[paragraph, [836.0, 1786.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [836.0, 1822.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [836.0, 1858.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [836.0, 1894.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [836.0, 1930.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [836.0, 1966.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [836.0, 2002.0, 610.0, 36.0], shoonya_11sFH1RZI7G91P, 5736205]
[paragraph, [205.0, 1875.0, 612.0, 36.0], shoonya_4s3BZV81BVI67U, 5736205]
[paragraph, [205.0, 1911.0, 612.0, 36.0], shoonya_4s3BZV81BVI67U, 5736205]
[paragraph, [205.0, 1947.0, 612.0, 36.0], shoonya_4s3BZV81BVI67U, 5736205]
[paragraph, [205.0, 1983.0, 612.0, 36.0], shoonya_4s3BZV81BVI67U, 5736205]
[paragraph, [205.0, 2019.0, 612.0, 36.0], shoonya_4s3BZV81BVI67U, 5736205]
[folio, [210.0, 2081.0, 241.0, 36.0], shoonya_16sR20JQMLISG6, 5736205]
