[3508, 2481]
[flag, [544.0, 110.0, 1393.0, 52.5], T0s08-gaer, 6534700]
[flag, [544.0, 162.5, 1393.0, 52.5], T0s08-gaer, 6534700]
[paragraph, [845.0, 229.0, 786.0, 52.5], o2N-FHiRBF, 6534700]
[section-title, [876.0, 599.0, 708.0, 93.0], U65X0VTweB, 6534700]
[dateline, [207.0, 1008.0, 431.0, 52.5], kfcd8tQ1db, 6534700]
[paragraph, [226.0, 1259.0, 303.0, 52.5], PnxdxN1aIB, 6534700]
[paragraph, [226.0, 1311.5, 303.0, 52.5], PnxdxN1aIB, 6534700]
[paragraph, [229.0, 1383.0, 2068.0, 52.5], W2Y0B6AzBE, 6534700]
[paragraph, [229.0, 1435.5, 2068.0, 52.5], W2Y0B6AzBE, 6534700]
[paragraph, [229.0, 1488.0, 2068.0, 52.5], W2Y0B6AzBE, 6534700]
[paragraph, [229.0, 1540.5, 2068.0, 52.5], W2Y0B6AzBE, 6534700]
[paragraph, [229.0, 1593.0, 2068.0, 52.5], W2Y0B6AzBE, 6534700]
[paragraph, [229.0, 1645.5, 2068.0, 52.5], W2Y0B6AzBE, 6534700]
[unordered-list, [281.0, 1789.0, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 1841.5, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 1894.0, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 1946.5, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 1999.0, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 2051.5, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 2104.0, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 2156.5, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 2209.0, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[unordered-list, [281.0, 2261.5, 2010.0, 52.5], shoonya_0s4KC3QO75CUJJ, 6534700]
[figure-caption, [1921.0, 2645.0, 335.0, 52.5], jrP9rQWGRY, 6534700]
[figure-caption, [1921.0, 2697.5, 335.0, 52.5], jrP9rQWGRY, 6534700]
[contact-info, [1665.0, 3250.0, 601.0, 52.5], t032c6jtEa, 6534700]
[contact-info, [1665.0, 3302.5, 601.0, 52.5], t032c6jtEa, 6534700]
