[2084, 1289]
[paragraph, [127.0, 278.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 314.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 350.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 386.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 422.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 458.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 494.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [127.0, 530.0, 1034.0, 36.0], shoonya_3sZ61HGUCH00E3, 5660381]
[paragraph, [130.0, 605.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 641.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 677.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 713.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 749.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 785.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 821.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [130.0, 857.0, 1030.0, 36.0], shoonya_2s60LZRGIV52T2, 5660381]
[paragraph, [129.0, 917.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 953.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 989.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1025.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1061.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1097.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1133.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1169.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1205.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [129.0, 1241.0, 1027.0, 36.0], shoonya_0sKK30MN8BEGL5, 5660381]
[paragraph, [131.0, 1295.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [131.0, 1331.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [131.0, 1367.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [131.0, 1403.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [131.0, 1439.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [131.0, 1475.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [131.0, 1511.0, 1026.0, 36.0], shoonya_4sHDVGHD5SRQGG, 5660381]
[paragraph, [133.0, 1569.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1605.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1641.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1677.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1713.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1749.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1785.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[paragraph, [133.0, 1821.0, 1030.0, 36.0], shoonya_1sYRKQIJMZNRJZ, 5660381]
[folio, [633.0, 1938.0, 655.0, 36.0], shoonya_6sHCP3U62F6RTU, 5660381]
[folio, [633.0, 1974.0, 655.0, 36.0], shoonya_6sHCP3U62F6RTU, 5660381]
