[1365, 833]
[folio, [103.0, 58.0, 120.0, 18.0], xJof6_BhdW, 5781621]
[folio, [103.0, 76.0, 120.0, 18.0], xJof6_BhdW, 5781621]
[folio, [103.0, 94.0, 120.0, 18.0], xJof6_BhdW, 5781621]
[folio, [292.0, 117.0, 262.0, 18.0], shoonya_3sU6Y33308A92G, 5781621]
[paragraph, [104.0, 156.0, 644.0, 18.0], uF76ouxXiJ, 5781621]
[paragraph, [104.0, 174.0, 644.0, 18.0], uF76ouxXiJ, 5781621]
[ordered-list, [102.0, 203.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 221.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 239.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 257.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 275.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 293.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 311.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 329.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 347.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 365.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 383.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 401.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 419.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 437.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 455.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 473.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 491.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 509.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 527.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 545.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 563.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 581.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 599.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 617.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 635.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
[ordered-list, [102.0, 653.0, 646.0, 18.0], shoonya_8sSI68VC1UDX2Z, 5781621]
