[2339, 1653]
[folio, [1267.0, 338.0, 148.0, 36.0], q0ZwZkxYbK, 5736151]
[paragraph, [236.0, 385.0, 580.0, 36.0], shoonya_4s25KV49LST99T, 5736151]
[paragraph, [236.0, 421.0, 580.0, 36.0], shoonya_4s25KV49LST99T, 5736151]
[paragraph, [236.0, 457.0, 580.0, 36.0], shoonya_4s25KV49LST99T, 5736151]
[paragraph, [236.0, 493.0, 580.0, 36.0], shoonya_4s25KV49LST99T, 5736151]
[paragraph, [836.0, 386.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [836.0, 422.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [836.0, 458.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [836.0, 494.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [836.0, 530.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [836.0, 566.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [836.0, 602.0, 575.0, 36.0], shoonya_3s20I3FB8F73PG, 5736151]
[paragraph, [236.0, 564.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 600.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 636.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 672.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 708.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 744.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 780.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 816.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 852.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 888.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 924.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 960.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 996.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 1032.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 1068.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [236.0, 1104.0, 579.0, 36.0], shoonya_2s025SYQ0QELUC, 5736151]
[paragraph, [835.0, 658.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 694.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 730.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 766.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 802.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 838.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 874.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 910.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
[paragraph, [835.0, 946.0, 580.0, 36.0], shoonya_0sT6MTPELGKRK7, 5736151]
