[2338, 1654]
[paragraph, [370.0, 180.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 216.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 252.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 288.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 324.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 360.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 396.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 432.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 468.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 504.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 540.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 576.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 612.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 648.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 684.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [370.0, 720.0, 752.0, 36.0], HZNqD-tQ31, 5754171]
[paragraph, [188.0, 772.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 808.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 844.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 880.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 916.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 952.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 988.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1024.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1060.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1096.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1132.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1168.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1204.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1240.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1276.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1312.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1348.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1384.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1420.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1456.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1492.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1528.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1564.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1600.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1636.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1672.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1708.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1744.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1780.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1816.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1852.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1888.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1924.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1960.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 1996.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 2032.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
[paragraph, [188.0, 2068.0, 1284.0, 36.0], shoonya_0sGVV6V2NCI7HL, 5754171]
