[594, 353]
[folio, [47.0, 6.0, 270.0, 18.0], J0bSQtF4aV, 5700608]
[paragraph, [46.0, 37.0, 306.0, 18.0], y3QDWltkgz, 5700608]
[paragraph, [77.0, 60.0, 274.0, 18.0], 64TrONKikB, 5700608]
[paragraph, [77.0, 78.0, 274.0, 18.0], 64TrONKikB, 5700608]
[paragraph, [77.0, 96.0, 274.0, 18.0], 64TrONKikB, 5700608]
[paragraph, [77.0, 114.0, 274.0, 18.0], 64TrONKikB, 5700608]
[sidebar, [14.0, 66.0, 61.0, 18.0], UDktBJKapg, 5700608]
[sidebar, [14.0, 84.0, 61.0, 18.0], UDktBJKapg, 5700608]
[sidebar, [14.0, 102.0, 61.0, 18.0], UDktBJKapg, 5700608]
[sidebar, [14.0, 120.0, 61.0, 18.0], UDktBJKapg, 5700608]
[paragraph, [22.0, 149.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 167.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 185.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 203.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 221.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 239.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 257.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 275.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 293.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 311.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 329.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 347.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 365.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 383.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 401.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 419.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 437.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 455.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 473.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 491.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 509.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 527.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
[paragraph, [22.0, 545.0, 322.0, 18.0], shoonya_0s9BIILV9IVM86, 5700608]
