[1350, 900]
[paragraph, [183.0, 248.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 266.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 284.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 302.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 320.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 338.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 356.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 374.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 392.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 410.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 428.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 446.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 464.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 482.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 500.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 518.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [183.0, 536.0, 559.0, 18.0], shoonya_1sKGMMHLUP9OJ3, 5760676]
[paragraph, [181.0, 574.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 592.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 610.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 628.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 646.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 664.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 682.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 700.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 718.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 736.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 754.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 772.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 790.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 808.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 826.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 844.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 862.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 880.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 898.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 916.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[paragraph, [181.0, 934.0, 564.0, 18.0], shoonya_0sFS8A2Z9F11AG, 5760676]
[author, [534.0, 982.0, 171.0, 18.0], shoonya_3sAOZL4072613K, 5760676]
[author, [534.0, 1000.0, 171.0, 18.0], shoonya_3sAOZL4072613K, 5760676]
[author, [534.0, 1018.0, 171.0, 18.0], shoonya_3sAOZL4072613K, 5760676]
