[720, 1440]
[section-title, [757.0, 95.0, 209.0, 30.0], 4q52dybP4m, 5779310]
[section-title, [757.0, 125.0, 209.0, 30.0], 4q52dybP4m, 5779310]
[paragraph, [755.0, 169.0, 186.0, 18.0], 2hW8rHhtFK, 5779310]
[paragraph, [755.0, 187.0, 186.0, 18.0], 2hW8rHhtFK, 5779310]
[paragraph, [755.0, 205.0, 186.0, 18.0], 2hW8rHhtFK, 5779310]
[paragraph, [755.0, 223.0, 186.0, 18.0], 2hW8rHhtFK, 5779310]
[paragraph, [755.0, 241.0, 186.0, 18.0], 2hW8rHhtFK, 5779310]
[section-title, [760.0, 325.0, 471.0, 30.0], tE9d5MgN7P, 5779310]
[paragraph, [871.0, 383.0, 509.0, 18.0], nbj6f2_Ukw, 5779310]
[paragraph, [871.0, 401.0, 509.0, 18.0], nbj6f2_Ukw, 5779310]
[paragraph, [871.0, 419.0, 509.0, 18.0], nbj6f2_Ukw, 5779310]
[paragraph, [871.0, 437.0, 509.0, 18.0], nbj6f2_Ukw, 5779310]
[unordered-list, [1061.0, 484.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 502.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 520.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 538.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 556.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 574.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 592.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 610.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 628.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[unordered-list, [1061.0, 646.0, 336.0, 18.0], shoonya_0sPDJRSLQKQ2PN, 5779310]
[section-title, [187.0, 486.0, 411.0, 30.0], shoonya_4sGGCR5WLBLES1, 5779310]
[paragraph, [35.0, 523.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
[paragraph, [35.0, 541.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
[paragraph, [35.0, 559.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
[paragraph, [35.0, 577.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
[paragraph, [35.0, 595.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
[paragraph, [35.0, 613.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
[paragraph, [35.0, 631.0, 626.0, 18.0], shoonya_6sXDJZNRLF608G, 5779310]
