[1650, 1275]
[section-title, [194.0, 146.0, 332.0, 49.5], eQNfQj_mmw, 6478005]
[options, [248.0, 275.0, 184.0, 36.0], S3prucUkED, 6478005]
[options, [248.0, 311.0, 184.0, 36.0], S3prucUkED, 6478005]
[options, [248.0, 347.0, 184.0, 36.0], S3prucUkED, 6478005]
[options, [248.0, 383.0, 184.0, 36.0], S3prucUkED, 6478005]
[options, [254.0, 545.0, 183.0, 36.0], shoonya_0sHMK7V5D64WXF, 6478005]
[options, [254.0, 581.0, 183.0, 36.0], shoonya_0sHMK7V5D64WXF, 6478005]
[options, [254.0, 617.0, 183.0, 36.0], shoonya_0sHMK7V5D64WXF, 6478005]
[options, [254.0, 653.0, 183.0, 36.0], shoonya_0sHMK7V5D64WXF, 6478005]
[options, [253.0, 797.0, 178.0, 36.0], T9CwIbxK_G, 6478005]
[options, [253.0, 833.0, 178.0, 36.0], T9CwIbxK_G, 6478005]
[options, [253.0, 869.0, 178.0, 36.0], T9CwIbxK_G, 6478005]
[options, [253.0, 905.0, 178.0, 36.0], T9CwIbxK_G, 6478005]
[options, [270.0, 1059.0, 517.0, 36.0], YrK32cal70, 6478005]
[options, [270.0, 1095.0, 517.0, 36.0], YrK32cal70, 6478005]
[options, [270.0, 1131.0, 517.0, 36.0], YrK32cal70, 6478005]
[options, [270.0, 1167.0, 517.0, 36.0], YrK32cal70, 6478005]
[options, [253.0, 1315.0, 658.0, 36.0], St2XqlET2H, 6478005]
[options, [253.0, 1351.0, 658.0, 36.0], St2XqlET2H, 6478005]
[options, [253.0, 1387.0, 658.0, 36.0], St2XqlET2H, 6478005]
