[3509, 2480]
[paragraph, [321.0, 390.0, 1853.0, 52.5], shoonya_0sZ6AYK8FBHG6E, 5724225]
[paragraph, [321.0, 442.5, 1853.0, 52.5], shoonya_0sZ6AYK8FBHG6E, 5724225]
[paragraph, [321.0, 495.0, 1853.0, 52.5], shoonya_0sZ6AYK8FBHG6E, 5724225]
[paragraph, [318.0, 638.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 690.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 743.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 795.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 848.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 900.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 953.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1005.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1058.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1110.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1163.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1215.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1268.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1320.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1373.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1425.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1478.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1530.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1583.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1635.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1688.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1740.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1793.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1845.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1898.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 1950.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2003.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2055.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2108.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2160.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2213.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2265.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2318.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2370.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2423.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2475.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2528.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2580.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2633.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2685.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2738.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2790.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2843.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2895.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 2948.0, 1854.0, 52.5], AN61N-sN4M, 5724225]
[paragraph, [318.0, 3000.5, 1854.0, 52.5], AN61N-sN4M, 5724225]
