[2200, 1700]
[section-title, [172.0, 142.0, 180.0, 52.5], U7RC_oY2NY, 5659160]
[ordered-list, [187.0, 269.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 305.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 341.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 377.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 413.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 449.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 485.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 521.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 557.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 593.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 629.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 665.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 701.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 737.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 773.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 809.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 845.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
[ordered-list, [187.0, 881.0, 975.0, 36.0], WT2dQ-9WFb, 5659160]
