[792, 628]
[headline, [207.0, 111.0, 125.0, 25.5], mHenKoqZZ6, 6459636]
[paragraph, [116.0, 151.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 169.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 187.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 205.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 223.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 241.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 259.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 277.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 295.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 313.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 331.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 349.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 367.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 385.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 403.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 421.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 439.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 457.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 475.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 493.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 511.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 529.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 547.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 565.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 583.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 601.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 619.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
[paragraph, [116.0, 637.0, 309.0, 18.0], shoonya_0s0R2A4VMLT4EQ, 6459636]
