[1162, 749]
[folio, [300.0, 82.0, 130.0, 18.0], T8hUAU9pbj, 5700239]
[paragraph, [74.0, 128.0, 589.0, 18.0], shoonya_2sN55C9KE8PEFB, 5700239]
[paragraph, [74.0, 146.0, 589.0, 18.0], shoonya_2sN55C9KE8PEFB, 5700239]
[paragraph, [74.0, 164.0, 589.0, 18.0], shoonya_2sN55C9KE8PEFB, 5700239]
[paragraph, [74.0, 182.0, 589.0, 18.0], shoonya_2sN55C9KE8PEFB, 5700239]
[paragraph, [74.0, 200.0, 589.0, 18.0], shoonya_2sN55C9KE8PEFB, 5700239]
[paragraph, [77.0, 235.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 253.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 271.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 289.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 307.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 325.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 343.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 361.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 379.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 397.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 415.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 433.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 451.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 469.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 487.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 505.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 523.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 541.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 559.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 577.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 595.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[paragraph, [77.0, 613.0, 587.0, 18.0], shoonya_1sYDFRN7SU4Y3R, 5700239]
[section-title, [173.0, 696.0, 381.0, 30.0], shoonya_3s4MLGWO0VXMJH, 5700239]
[paragraph, [78.0, 748.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 766.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 784.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 802.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 820.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 838.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 856.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 874.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 892.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 910.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 928.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 946.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 964.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 982.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 1000.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 1018.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 1036.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
[paragraph, [78.0, 1054.0, 572.0, 18.0], shoonya_0sBXHVX91THG2Z, 5700239]
