[1763, 1275]
[author, [20.0, 50.0, 205.0, 36.0], -oIUZAjIRj, 5712500]
[headline, [22.0, 97.0, 562.0, 37.5], shoonya_6s4Z6R7P5R9LBU, 5712500]
[headline, [22.0, 134.5, 562.0, 37.5], shoonya_6s4Z6R7P5R9LBU, 5712500]
[ordered-list, [229.0, 227.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 263.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 299.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 335.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 371.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 407.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 443.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 479.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 515.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 551.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 587.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 623.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 659.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 695.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 731.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 767.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 803.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
[ordered-list, [229.0, 839.0, 514.0, 36.0], shoonya_5sP5VS2GU14KVM, 5712500]
