[2200, 1700]
[paragraph, [311.0, 70.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 106.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 142.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 178.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 214.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 250.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 286.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [311.0, 322.0, 1085.0, 36.0], shoonya_0sQ75OUHJ6SEUW, 5731014]
[paragraph, [322.0, 371.0, 1082.0, 36.0], zW5qMqi864, 5731014]
[paragraph, [322.0, 407.0, 1082.0, 36.0], zW5qMqi864, 5731014]
[paragraph, [322.0, 443.0, 1082.0, 36.0], zW5qMqi864, 5731014]
[paragraph, [324.0, 494.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 530.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 566.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 602.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 638.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 674.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 710.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 746.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 782.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 818.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 854.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 890.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 926.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 962.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 998.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1034.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1070.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1106.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1142.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1178.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1214.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1250.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1286.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1322.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1358.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1394.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1430.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1466.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1502.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1538.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1574.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1610.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1646.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1682.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [324.0, 1718.0, 1080.0, 36.0], zm1QG4-OTs, 5731014]
[paragraph, [336.0, 1765.0, 1090.0, 36.0], shoonya_1s5UVWRNIAP34D, 5731014]
[paragraph, [336.0, 1801.0, 1090.0, 36.0], shoonya_1s5UVWRNIAP34D, 5731014]
[paragraph, [336.0, 1837.0, 1090.0, 36.0], shoonya_1s5UVWRNIAP34D, 5731014]
[paragraph, [336.0, 1873.0, 1090.0, 36.0], shoonya_1s5UVWRNIAP34D, 5731014]
[folio, [980.0, 2019.0, 365.0, 36.0], BquZm_jb-X, 5731014]
