[596, 393]
[paragraph, [37.0, 45.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 63.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 81.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 99.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 117.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 135.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 153.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 171.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 189.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 207.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 225.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 243.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 261.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 279.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 297.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 315.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 333.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 351.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [37.0, 369.0, 318.0, 18.0], shoonya_0sZUUFMY1WZ0HC, 6534282]
[paragraph, [35.0, 408.0, 332.0, 18.0], wqJZdOnDmm, 6534282]
[paragraph, [35.0, 426.0, 332.0, 18.0], wqJZdOnDmm, 6534282]
[paragraph, [35.0, 444.0, 332.0, 18.0], wqJZdOnDmm, 6534282]
[paragraph, [35.0, 462.0, 332.0, 18.0], wqJZdOnDmm, 6534282]
[paragraph, [35.0, 480.0, 332.0, 18.0], wqJZdOnDmm, 6534282]
[paragraph, [35.0, 498.0, 332.0, 18.0], wqJZdOnDmm, 6534282]
