[1754, 1241]
[sidebar, [189.0, 235.0, 142.0, 36.0], JDzielF3eF, 5761388]
[paragraph, [335.0, 285.0, 336.0, 36.0], T1j7W3ZEu7, 5761388]
[paragraph, [335.0, 321.0, 336.0, 36.0], T1j7W3ZEu7, 5761388]
[paragraph, [184.0, 425.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 461.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 497.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 533.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 569.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 605.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 641.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 677.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 713.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [184.0, 749.0, 841.0, 36.0], shoonya_0sLJ6PHV1ARJGZ, 5761388]
[paragraph, [182.0, 904.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[paragraph, [182.0, 940.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[paragraph, [182.0, 976.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[paragraph, [182.0, 1012.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[paragraph, [182.0, 1048.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[paragraph, [182.0, 1084.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[paragraph, [182.0, 1120.0, 845.0, 36.0], shoonya_1sCGK0BG4V7DIA, 5761388]
[sidebar, [187.0, 1237.0, 142.0, 36.0], z58_hy_xlk, 5761388]
[paragraph, [333.0, 1282.0, 504.0, 36.0], m_CBWR4bIf, 5761388]
[paragraph, [183.0, 1382.0, 844.0, 36.0], shoonya_3sZUOHUX5WTZZK, 5761388]
[paragraph, [183.0, 1418.0, 844.0, 36.0], shoonya_3sZUOHUX5WTZZK, 5761388]
[paragraph, [183.0, 1454.0, 844.0, 36.0], shoonya_3sZUOHUX5WTZZK, 5761388]
[paragraph, [183.0, 1490.0, 844.0, 36.0], shoonya_3sZUOHUX5WTZZK, 5761388]
[paragraph, [183.0, 1526.0, 844.0, 36.0], shoonya_3sZUOHUX5WTZZK, 5761388]
