[1300, 900]
[folio, [414.0, 30.0, 120.0, 18.0], YKl66P5iWe, 5732694]
[folio, [414.0, 48.0, 120.0, 18.0], YKl66P5iWe, 5732694]
[paragraph, [119.0, 88.0, 701.0, 18.0], shoonya_3sYB23PMTS33EP, 5732694]
[paragraph, [119.0, 106.0, 701.0, 18.0], shoonya_3sYB23PMTS33EP, 5732694]
[paragraph, [119.0, 124.0, 701.0, 18.0], shoonya_3sYB23PMTS33EP, 5732694]
[paragraph, [119.0, 142.0, 701.0, 18.0], shoonya_3sYB23PMTS33EP, 5732694]
[paragraph, [119.0, 160.0, 701.0, 18.0], shoonya_3sYB23PMTS33EP, 5732694]
[paragraph, [118.0, 195.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[paragraph, [118.0, 213.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[paragraph, [118.0, 231.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[paragraph, [118.0, 249.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[paragraph, [118.0, 267.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[paragraph, [118.0, 285.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[paragraph, [118.0, 303.0, 711.0, 18.0], hn-nGAUnmE, 5732694]
[section-title, [270.0, 345.0, 419.0, 30.0], 1p5jxNyWvH, 5732694]
[paragraph, [133.0, 394.0, 686.0, 18.0], shoonya_2sEUL3C88RO000, 5732694]
[paragraph, [133.0, 412.0, 686.0, 18.0], shoonya_2sEUL3C88RO000, 5732694]
[paragraph, [133.0, 430.0, 686.0, 18.0], shoonya_2sEUL3C88RO000, 5732694]
[paragraph, [133.0, 448.0, 686.0, 18.0], shoonya_2sEUL3C88RO000, 5732694]
[paragraph, [133.0, 466.0, 686.0, 18.0], shoonya_2sEUL3C88RO000, 5732694]
[paragraph, [125.0, 492.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 510.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 528.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 546.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 564.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 582.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 600.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 618.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 636.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [125.0, 654.0, 692.0, 18.0], shoonya_0sXM984V5SWT8O, 5732694]
[paragraph, [127.0, 680.0, 693.0, 18.0], shoonya_1sYG7E7414G2DF, 5732694]
[paragraph, [127.0, 698.0, 693.0, 18.0], shoonya_1sYG7E7414G2DF, 5732694]
[paragraph, [127.0, 716.0, 693.0, 18.0], shoonya_1sYG7E7414G2DF, 5732694]
[paragraph, [127.0, 734.0, 693.0, 18.0], shoonya_1sYG7E7414G2DF, 5732694]
[paragraph, [127.0, 752.0, 693.0, 18.0], shoonya_1sYG7E7414G2DF, 5732694]
[paragraph, [127.0, 769.0, 695.0, 18.0], shoonya_6sW9QVYWGICUBI, 5732694]
[paragraph, [127.0, 787.0, 695.0, 18.0], shoonya_6sW9QVYWGICUBI, 5732694]
[paragraph, [127.0, 805.0, 695.0, 18.0], shoonya_6sW9QVYWGICUBI, 5732694]
[paragraph, [127.0, 823.0, 695.0, 18.0], shoonya_6sW9QVYWGICUBI, 5732694]
[paragraph, [127.0, 841.0, 695.0, 18.0], shoonya_6sW9QVYWGICUBI, 5732694]
[paragraph, [127.0, 859.0, 695.0, 18.0], shoonya_6sW9QVYWGICUBI, 5732694]
[paragraph, [127.0, 874.0, 693.0, 18.0], shoonya_7sA0VPTM7CT89L, 5732694]
[paragraph, [127.0, 892.0, 693.0, 18.0], shoonya_7sA0VPTM7CT89L, 5732694]
[paragraph, [127.0, 910.0, 693.0, 18.0], shoonya_7sA0VPTM7CT89L, 5732694]
[paragraph, [127.0, 928.0, 693.0, 18.0], shoonya_7sA0VPTM7CT89L, 5732694]
[paragraph, [127.0, 946.0, 693.0, 18.0], shoonya_7sA0VPTM7CT89L, 5732694]
[section-title, [292.0, 980.0, 378.0, 30.0], 1W6jIpmPoX, 5732694]
[paragraph, [126.0, 1039.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [126.0, 1057.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [126.0, 1075.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [126.0, 1093.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [126.0, 1111.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [126.0, 1129.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [126.0, 1147.0, 702.0, 18.0], shoonya_5s41AQ0LHT448O, 5732694]
[paragraph, [170.0, 1186.0, 656.0, 18.0], 1ywWJ1wSTA, 5732694]
[paragraph, [170.0, 1204.0, 656.0, 18.0], 1ywWJ1wSTA, 5732694]
