[2200, 1680]
[paragraph, [51.0, 165.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 201.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 237.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 273.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 309.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 345.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 381.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 417.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 453.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 489.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 525.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 561.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 597.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 633.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 669.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 705.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 741.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 777.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 813.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 849.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 885.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 921.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [51.0, 957.0, 748.0, 36.0], shoonya_0s0SJVLPFSAIRH, 5654135]
[paragraph, [819.0, 185.0, 746.0, 36.0], shoonya_4sUSQFAB55GTTQ, 5654135]
[paragraph, [819.0, 221.0, 746.0, 36.0], shoonya_4sUSQFAB55GTTQ, 5654135]
[paragraph, [819.0, 257.0, 746.0, 36.0], shoonya_4sUSQFAB55GTTQ, 5654135]
[paragraph, [818.0, 323.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 359.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 395.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 431.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 467.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 503.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 539.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 575.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [818.0, 611.0, 747.0, 36.0], shoonya_1s8BJGV465NFJW, 5654135]
[paragraph, [817.0, 687.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [817.0, 723.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [817.0, 759.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [817.0, 795.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [817.0, 831.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [817.0, 867.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [817.0, 903.0, 733.0, 36.0], shoonya_2sNI4D10G8XUAB, 5654135]
[paragraph, [821.0, 950.0, 729.0, 36.0], shoonya_3sW8NWAMOBFL0L, 5654135]
[paragraph, [821.0, 986.0, 729.0, 36.0], shoonya_3sW8NWAMOBFL0L, 5654135]
[paragraph, [821.0, 1022.0, 729.0, 36.0], shoonya_3sW8NWAMOBFL0L, 5654135]
[paragraph, [821.0, 1058.0, 729.0, 36.0], shoonya_3sW8NWAMOBFL0L, 5654135]
