[2067, 1567]
[folio, [1240.0, 197.0, 131.0, 36.0], D0ySB7lUvZ, 5735499]
[folio, [187.0, 199.0, 330.0, 36.0], bYJjYps__u, 5735499]
[paragraph, [189.0, 248.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 284.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 320.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 356.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 392.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 428.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 464.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 500.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 536.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 572.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 608.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 644.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 680.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [189.0, 716.0, 584.0, 36.0], shoonya_2sRDFH3SNKQJ8B, 5735499]
[paragraph, [793.0, 300.0, 135.0, 36.0], shoonya_16s7ZJFUZQYA6W, 5735499]
[paragraph, [1051.0, 390.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 426.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 462.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 498.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 534.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 570.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 606.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 642.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [1051.0, 678.0, 321.0, 36.0], shoonya_6sJ5GJUR4XKULK, 5735499]
[paragraph, [791.0, 740.0, 577.0, 36.0], shoonya_7s21Z4Z4UJINYC, 5735499]
[paragraph, [791.0, 776.0, 577.0, 36.0], shoonya_7s21Z4Z4UJINYC, 5735499]
[paragraph, [791.0, 812.0, 577.0, 36.0], shoonya_7s21Z4Z4UJINYC, 5735499]
[paragraph, [191.0, 781.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 817.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 853.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 889.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 925.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 961.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 997.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 1033.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 1069.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 1105.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 1141.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 1177.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [191.0, 1213.0, 582.0, 36.0], shoonya_0sQL0R5T96L4L2, 5735499]
[paragraph, [792.0, 872.0, 578.0, 36.0], shoonya_3sPQMKWAPBF5LC, 5735499]
[paragraph, [792.0, 908.0, 578.0, 36.0], shoonya_3sPQMKWAPBF5LC, 5735499]
