[2338, 1654]
[paragraph, [266.0, 224.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 260.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 296.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 332.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 368.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 404.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 440.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 476.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 512.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 548.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 584.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 620.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 656.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 692.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 728.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 764.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 800.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 836.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 872.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 908.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 944.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 980.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1016.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1052.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1088.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1124.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1160.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1196.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1232.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1268.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1304.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1340.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1376.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1412.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1448.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1484.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1520.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1556.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1592.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1628.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1664.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1700.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1736.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1772.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1808.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[paragraph, [266.0, 1844.0, 1203.0, 36.0], shoonya_0sYCN6MS3HRSKY, 5753567]
[reference, [254.0, 1940.0, 829.0, 36.0], RUKpVnNSSl, 5753567]
[reference, [254.0, 1976.0, 829.0, 36.0], RUKpVnNSSl, 5753567]
[reference, [254.0, 2012.0, 829.0, 36.0], RUKpVnNSSl, 5753567]
[website-link, [272.0, 1961.0, 236.0, 18.0], shoonya_2s26USTGL37OMX, 5753567]
[website-link, [272.0, 1979.0, 236.0, 18.0], shoonya_2s26USTGL37OMX, 5753567]
[website-link, [268.0, 2031.0, 227.0, 18.0], OIXxgakJmm, 5753567]
[website-link, [268.0, 2049.0, 227.0, 18.0], OIXxgakJmm, 5753567]
