[2339, 1655]
[section-title, [372.0, 197.0, 905.0, 52.5], shoonya_2sSDTJI0NHMYHI, 5737332]
[paragraph, [456.0, 281.0, 944.0, 36.0], dSEQ9HN7ga, 5737332]
[paragraph, [197.0, 321.0, 1235.0, 36.0], shoonya_1s8SJL3UWZ3W7E, 5737332]
[paragraph, [197.0, 357.0, 1235.0, 36.0], shoonya_1s8SJL3UWZ3W7E, 5737332]
[paragraph, [197.0, 393.0, 1235.0, 36.0], shoonya_1s8SJL3UWZ3W7E, 5737332]
[ordered-list, [191.0, 520.0, 1229.0, 36.0], shoonya_3sW8VXMOE81I5D, 5737332]
[ordered-list, [191.0, 556.0, 1229.0, 36.0], shoonya_3sW8VXMOE81I5D, 5737332]
[ordered-list, [191.0, 592.0, 1229.0, 36.0], shoonya_3sW8VXMOE81I5D, 5737332]
[ordered-list, [191.0, 628.0, 1229.0, 36.0], shoonya_3sW8VXMOE81I5D, 5737332]
[ordered-list, [191.0, 664.0, 1229.0, 36.0], shoonya_3sW8VXMOE81I5D, 5737332]
[ordered-list, [191.0, 700.0, 1229.0, 36.0], shoonya_3sW8VXMOE81I5D, 5737332]
[ordered-list, [289.0, 840.0, 803.0, 36.0], aRzchPxLgp, 5737332]
[ordered-list, [289.0, 876.0, 803.0, 36.0], aRzchPxLgp, 5737332]
[ordered-list, [289.0, 912.0, 803.0, 36.0], aRzchPxLgp, 5737332]
[ordered-list, [290.0, 1034.0, 497.0, 36.0], shoonya_9sPZENQXOQP53A, 5737332]
[ordered-list, [290.0, 1070.0, 497.0, 36.0], shoonya_9sPZENQXOQP53A, 5737332]
[ordered-list, [290.0, 1106.0, 497.0, 36.0], shoonya_9sPZENQXOQP53A, 5737332]
[ordered-list, [293.0, 1229.0, 613.0, 36.0], 4-KbCQodwu, 5737332]
[ordered-list, [293.0, 1265.0, 613.0, 36.0], 4-KbCQodwu, 5737332]
[ordered-list, [293.0, 1301.0, 613.0, 36.0], 4-KbCQodwu, 5737332]
[ordered-list, [290.0, 1424.0, 474.0, 36.0], shoonya_11s61MRMER7TA1, 5737332]
[ordered-list, [290.0, 1460.0, 474.0, 36.0], shoonya_11s61MRMER7TA1, 5737332]
[ordered-list, [290.0, 1496.0, 474.0, 36.0], shoonya_11s61MRMER7TA1, 5737332]
[ordered-list, [193.0, 1617.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1653.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1689.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1725.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1761.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1797.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1833.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1869.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1905.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1941.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 1977.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 2013.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
[ordered-list, [193.0, 2049.0, 830.0, 36.0], shoonya_10sYGPU8TZXZ3A, 5737332]
