[1300, 900]
[folio, [394.0, 36.0, 118.0, 18.0], Zb9p6EhKBa, 5731892]
[folio, [394.0, 54.0, 118.0, 18.0], Zb9p6EhKBa, 5731892]
[paragraph, [100.0, 94.0, 683.0, 18.0], W59kr7AKOE, 5731892]
[paragraph, [100.0, 112.0, 683.0, 18.0], W59kr7AKOE, 5731892]
[paragraph, [104.0, 150.0, 692.0, 18.0], shoonya_0sH43ZYEA3UCOL, 5731892]
[paragraph, [104.0, 168.0, 692.0, 18.0], shoonya_0sH43ZYEA3UCOL, 5731892]
[paragraph, [104.0, 186.0, 692.0, 18.0], shoonya_0sH43ZYEA3UCOL, 5731892]
[paragraph, [104.0, 204.0, 692.0, 18.0], shoonya_0sH43ZYEA3UCOL, 5731892]
[paragraph, [106.0, 242.0, 691.0, 18.0], shoonya_4sE0VUBYMIE0AD, 5731892]
[paragraph, [106.0, 260.0, 691.0, 18.0], shoonya_4sE0VUBYMIE0AD, 5731892]
[paragraph, [106.0, 278.0, 691.0, 18.0], shoonya_4sE0VUBYMIE0AD, 5731892]
[paragraph, [106.0, 296.0, 691.0, 18.0], shoonya_4sE0VUBYMIE0AD, 5731892]
[paragraph, [101.0, 329.0, 694.0, 18.0], shoonya_2sCL2JYN1OPHDI, 5731892]
[paragraph, [101.0, 347.0, 694.0, 18.0], shoonya_2sCL2JYN1OPHDI, 5731892]
[paragraph, [101.0, 365.0, 694.0, 18.0], shoonya_2sCL2JYN1OPHDI, 5731892]
[paragraph, [101.0, 383.0, 694.0, 18.0], shoonya_2sCL2JYN1OPHDI, 5731892]
[paragraph, [95.0, 421.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [95.0, 439.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [95.0, 457.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [95.0, 475.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [95.0, 493.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [95.0, 511.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [95.0, 529.0, 724.0, 18.0], shoonya_3s1D3FM0A4X4LF, 5731892]
[paragraph, [94.0, 556.0, 694.0, 18.0], shoonya_6sTAL24KS8TAY5, 5731892]
[paragraph, [94.0, 574.0, 694.0, 18.0], shoonya_6sTAL24KS8TAY5, 5731892]
[paragraph, [94.0, 592.0, 694.0, 18.0], shoonya_6sTAL24KS8TAY5, 5731892]
[paragraph, [94.0, 610.0, 694.0, 18.0], shoonya_6sTAL24KS8TAY5, 5731892]
[paragraph, [101.0, 648.0, 698.0, 18.0], RwIcKmJuxw, 5731892]
[paragraph, [101.0, 666.0, 698.0, 18.0], RwIcKmJuxw, 5731892]
[paragraph, [101.0, 684.0, 698.0, 18.0], RwIcKmJuxw, 5731892]
[paragraph, [101.0, 702.0, 698.0, 18.0], RwIcKmJuxw, 5731892]
[section-title, [300.0, 752.0, 300.0, 30.0], tG_J8EUiUA, 5731892]
[paragraph, [104.0, 812.0, 685.0, 18.0], shoonya_5sYUMZAPYSISS1, 5731892]
[paragraph, [104.0, 830.0, 685.0, 18.0], shoonya_5sYUMZAPYSISS1, 5731892]
[paragraph, [104.0, 848.0, 685.0, 18.0], shoonya_5sYUMZAPYSISS1, 5731892]
[paragraph, [104.0, 866.0, 685.0, 18.0], shoonya_5sYUMZAPYSISS1, 5731892]
[paragraph, [106.0, 904.0, 681.0, 18.0], GhQWgEB0z2, 5731892]
[paragraph, [106.0, 922.0, 681.0, 18.0], GhQWgEB0z2, 5731892]
[paragraph, [106.0, 940.0, 681.0, 18.0], GhQWgEB0z2, 5731892]
[paragraph, [106.0, 958.0, 681.0, 18.0], GhQWgEB0z2, 5731892]
[paragraph, [106.0, 976.0, 681.0, 18.0], GhQWgEB0z2, 5731892]
[paragraph, [110.0, 1000.0, 685.0, 18.0], Q9x90fpBs5, 5731892]
[paragraph, [110.0, 1018.0, 685.0, 18.0], Q9x90fpBs5, 5731892]
[paragraph, [110.0, 1036.0, 685.0, 18.0], Q9x90fpBs5, 5731892]
[paragraph, [110.0, 1054.0, 685.0, 18.0], Q9x90fpBs5, 5731892]
[paragraph, [110.0, 1072.0, 685.0, 18.0], Q9x90fpBs5, 5731892]
[paragraph, [100.0, 1100.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
[paragraph, [100.0, 1118.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
[paragraph, [100.0, 1136.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
[paragraph, [100.0, 1154.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
[paragraph, [100.0, 1172.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
[paragraph, [100.0, 1190.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
[paragraph, [100.0, 1208.0, 700.0, 18.0], shoonya_1sMPO7X9826X0W, 5731892]
