[1755, 1241]
[paragraph, [183.0, 193.0, 935.0, 36.0], bE9og8mbp6, 5728651]
[paragraph, [183.0, 229.0, 935.0, 36.0], bE9og8mbp6, 5728651]
[ordered-list, [118.0, 286.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 322.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 358.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 394.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 430.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 466.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 502.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 538.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 574.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 610.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 646.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 682.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 718.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 754.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 790.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 826.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 862.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 898.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 934.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 970.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [118.0, 1006.0, 1017.0, 36.0], shoonya_0sOW387KMQ5XP9, 5728651]
[ordered-list, [124.0, 1089.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1125.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1161.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1197.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1233.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1269.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1305.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1341.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1377.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1413.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1449.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1485.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
[ordered-list, [124.0, 1521.0, 994.0, 36.0], Co0I6ssaA2, 5728651]
