[596, 393]
[paragraph, [38.0, 48.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 66.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 84.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 102.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 120.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 138.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 156.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 174.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 192.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 210.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 228.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 246.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 264.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 282.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 300.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [38.0, 318.0, 311.0, 18.0], shoonya_1s56T4PWP18GQZ, 6534245]
[paragraph, [41.0, 361.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 379.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 397.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 415.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 433.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 451.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 469.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 487.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
[paragraph, [41.0, 505.0, 305.0, 18.0], shoonya_0sYL7FN73237QL, 6534245]
