[1238, 769]
[section-title, [123.0, 219.0, 541.0, 30.0], 8tiBwyoeZK, 6469733]
[ordered-list, [319.0, 366.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 384.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 402.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 420.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 438.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 456.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 474.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 492.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 510.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 528.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 546.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [319.0, 564.0, 213.0, 18.0], kNItvrpAI2, 6469733]
[ordered-list, [329.0, 683.0, 144.0, 18.0], shoonya_1sA7RNQCL085NJ, 6469733]
[ordered-list, [329.0, 701.0, 144.0, 18.0], shoonya_1sA7RNQCL085NJ, 6469733]
[ordered-list, [329.0, 719.0, 144.0, 18.0], shoonya_1sA7RNQCL085NJ, 6469733]
[ordered-list, [329.0, 737.0, 144.0, 18.0], shoonya_1sA7RNQCL085NJ, 6469733]
[paragraph, [331.0, 864.0, 102.0, 18.0], pURtHnI-T-, 6469733]
[figure-caption, [495.0, 985.0, 145.0, 18.0], HPWp_RprXL, 6469733]
[footnote, [122.0, 1132.0, 535.0, 18.0], plCh_8hiHK, 6469733]
