[872, 605]
[folio, [37.0, 34.0, 80.0, 18.0], 8sbjdPtHYw, 6456678]
[paragraph, [300.0, 67.0, 259.0, 18.0], 2Cydo6-MEj, 6456678]
[paragraph, [300.0, 85.0, 259.0, 18.0], 2Cydo6-MEj, 6456678]
[paragraph, [35.0, 68.0, 259.0, 18.0], shoonya_0s8631RWFJL28I, 6456678]
[paragraph, [35.0, 86.0, 259.0, 18.0], shoonya_0s8631RWFJL28I, 6456678]
[paragraph, [303.0, 108.0, 256.0, 18.0], CTp7WHKgMV, 6456678]
[paragraph, [303.0, 126.0, 256.0, 18.0], CTp7WHKgMV, 6456678]
[paragraph, [44.0, 113.0, 248.0, 18.0], dJD7f5J-lO, 6456678]
[paragraph, [36.0, 131.0, 261.0, 18.0], WZxd4E2ErA, 6456678]
[paragraph, [299.0, 144.0, 248.0, 18.0], WP9lcO87O-, 6456678]
[paragraph, [299.0, 162.0, 248.0, 18.0], WP9lcO87O-, 6456678]
[paragraph, [35.0, 163.0, 262.0, 18.0], S0BtBWRwbC, 6456678]
[paragraph, [36.0, 179.0, 235.0, 18.0], 9CxueKYBd9, 6456678]
[paragraph, [36.0, 197.0, 235.0, 18.0], 9CxueKYBd9, 6456678]
[paragraph, [300.0, 180.0, 259.0, 18.0], gTmoBChQFq, 6456678]
[paragraph, [300.0, 198.0, 259.0, 18.0], gTmoBChQFq, 6456678]
[paragraph, [300.0, 213.0, 228.0, 18.0], I3345buYBR, 6456678]
[paragraph, [32.0, 219.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 237.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 255.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 273.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 291.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 309.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 327.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 345.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 363.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [32.0, 381.0, 263.0, 18.0], r2fx31oq8x, 6456678]
[paragraph, [302.0, 231.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 249.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 267.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 285.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 303.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 321.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 339.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 357.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
[paragraph, [302.0, 375.0, 264.0, 18.0], aQk3rzbnbN, 6456678]
