[1545, 2000]
[section-title, [49.0, 125.0, 360.0, 49.5], shoonya_0sAUULHU2J8HL6, 6532478]
[section-title, [49.0, 174.5, 360.0, 49.5], shoonya_0sAUULHU2J8HL6, 6532478]
[section-title, [714.0, 129.0, 367.0, 49.5], YohD6Vm9Ae, 6532478]
[section-title, [1375.0, 149.0, 277.0, 49.5], zbNQbYi3jy, 6532478]
[paragraph, [32.0, 304.0, 609.0, 36.0], 6H1PPE8I59, 6532478]
[paragraph, [32.0, 340.0, 609.0, 36.0], 6H1PPE8I59, 6532478]
[paragraph, [32.0, 376.0, 609.0, 36.0], 6H1PPE8I59, 6532478]
[paragraph, [32.0, 412.0, 609.0, 36.0], 6H1PPE8I59, 6532478]
[paragraph, [32.0, 448.0, 609.0, 36.0], 6H1PPE8I59, 6532478]
[paragraph, [709.0, 307.0, 584.0, 36.0], DZ1x748i5e, 6532478]
[paragraph, [709.0, 343.0, 584.0, 36.0], DZ1x748i5e, 6532478]
[paragraph, [709.0, 379.0, 584.0, 36.0], DZ1x748i5e, 6532478]
[paragraph, [709.0, 415.0, 584.0, 36.0], DZ1x748i5e, 6532478]
[paragraph, [32.0, 524.0, 591.0, 36.0], wuKAoM01g8, 6532478]
[paragraph, [32.0, 560.0, 591.0, 36.0], wuKAoM01g8, 6532478]
[paragraph, [32.0, 596.0, 591.0, 36.0], wuKAoM01g8, 6532478]
[paragraph, [32.0, 632.0, 591.0, 36.0], wuKAoM01g8, 6532478]
[paragraph, [32.0, 668.0, 591.0, 36.0], wuKAoM01g8, 6532478]
[headline, [1368.0, 803.0, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 840.5, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 878.0, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 915.5, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 953.0, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 990.5, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 1028.0, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 1065.5, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 1103.0, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 1140.5, 481.0, 37.5], d9BkRmVXlU, 6532478]
[headline, [1368.0, 1178.0, 481.0, 37.5], d9BkRmVXlU, 6532478]
[paragraph, [82.0, 856.0, 504.0, 36.0], qdUu11KsQH, 6532478]
[paragraph, [82.0, 892.0, 504.0, 36.0], qdUu11KsQH, 6532478]
[paragraph, [82.0, 928.0, 504.0, 36.0], qdUu11KsQH, 6532478]
[paragraph, [82.0, 964.0, 504.0, 36.0], qdUu11KsQH, 6532478]
[contact-info, [828.0, 1005.0, 294.0, 36.0], GDyOJJXXjR, 6532478]
[contact-info, [828.0, 1041.0, 294.0, 36.0], GDyOJJXXjR, 6532478]
[contact-info, [828.0, 1077.0, 294.0, 36.0], GDyOJJXXjR, 6532478]
[contact-info, [833.0, 1148.0, 426.0, 36.0], vdjcLQgj9J, 6532478]
[contact-info, [833.0, 1184.0, 426.0, 36.0], vdjcLQgj9J, 6532478]
[paragraph, [1378.0, 1242.0, 581.0, 36.0], vFaOx5ldwh, 6532478]
[paragraph, [1378.0, 1278.0, 581.0, 36.0], vFaOx5ldwh, 6532478]
[paragraph, [1378.0, 1314.0, 581.0, 36.0], vFaOx5ldwh, 6532478]
[paragraph, [1378.0, 1350.0, 581.0, 36.0], vFaOx5ldwh, 6532478]
[paragraph, [838.0, 1290.0, 411.0, 36.0], _LPIJeYV-3, 6532478]
[paragraph, [838.0, 1326.0, 411.0, 36.0], _LPIJeYV-3, 6532478]
[paragraph, [838.0, 1362.0, 411.0, 36.0], _LPIJeYV-3, 6532478]
