[1230, 741]
[paragraph, [52.0, 208.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 226.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 244.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 262.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 280.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 298.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 316.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 334.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 352.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 370.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 388.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 406.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 424.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 442.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 460.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 478.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 496.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 514.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 532.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 550.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 568.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 586.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 604.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 622.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 640.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 658.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 676.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 694.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 712.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 730.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 748.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 766.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 784.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 802.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 820.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 838.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 856.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 874.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 892.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 910.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 928.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 946.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 964.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 982.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 1000.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 1018.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
[paragraph, [52.0, 1036.0, 305.0, 18.0], Zl2kdqGe4e, 5701820]
