[624, 1616]
[headline, [248.0, 54.0, 294.0, 25.5], 1Jg7VwuOX8, 5745056]
[headline, [248.0, 79.5, 294.0, 25.5], 1Jg7VwuOX8, 5745056]
[paragraph, [990.0, 109.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [990.0, 127.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [990.0, 145.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [990.0, 163.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [990.0, 181.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [990.0, 199.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [990.0, 217.0, 514.0, 18.0], shoonya_0s69Q0H8EM5E1M, 5745056]
[paragraph, [992.0, 252.0, 509.0, 18.0], shoonya_1sA7ZHY6A97R0F, 5745056]
[paragraph, [992.0, 270.0, 509.0, 18.0], shoonya_1sA7ZHY6A97R0F, 5745056]
[paragraph, [992.0, 288.0, 509.0, 18.0], shoonya_1sA7ZHY6A97R0F, 5745056]
[paragraph, [991.0, 325.0, 513.0, 18.0], shoonya_2s14EBC6TGJYX5, 5745056]
[paragraph, [991.0, 343.0, 513.0, 18.0], shoonya_2s14EBC6TGJYX5, 5745056]
[paragraph, [991.0, 361.0, 513.0, 18.0], shoonya_2s14EBC6TGJYX5, 5745056]
[paragraph, [991.0, 379.0, 513.0, 18.0], shoonya_2s14EBC6TGJYX5, 5745056]
[paragraph, [991.0, 397.0, 513.0, 18.0], shoonya_2s14EBC6TGJYX5, 5745056]
[website-link, [10.0, 564.0, 206.0, 18.0], shoonya_4sCDQZF2ZQIZZW, 5745056]
[author, [1117.0, 573.0, 186.0, 18.0], B2jtPJ586D, 5745056]
