[1211, 798]
[folio, [341.0, 43.0, 101.0, 18.0], 7iRRR63B6D, 5741117]
[folio, [341.0, 61.0, 101.0, 18.0], 7iRRR63B6D, 5741117]
[paragraph, [49.0, 102.0, 686.0, 18.0], shoonya_0s7I7AZ2BQMZCF, 5741117]
[paragraph, [49.0, 120.0, 686.0, 18.0], shoonya_0s7I7AZ2BQMZCF, 5741117]
[paragraph, [49.0, 138.0, 686.0, 18.0], shoonya_0s7I7AZ2BQMZCF, 5741117]
[paragraph, [49.0, 156.0, 686.0, 18.0], shoonya_0s7I7AZ2BQMZCF, 5741117]
[paragraph, [49.0, 174.0, 686.0, 18.0], shoonya_0s7I7AZ2BQMZCF, 5741117]
[paragraph, [49.0, 192.0, 686.0, 18.0], shoonya_0s7I7AZ2BQMZCF, 5741117]
[paragraph, [41.0, 233.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 251.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 269.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 287.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 305.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 323.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 341.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 359.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 377.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 395.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 413.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 431.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 449.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 467.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 485.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 503.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 521.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 539.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [41.0, 557.0, 705.0, 18.0], 0lq5tjHDcK, 5741117]
[paragraph, [54.0, 602.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 620.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 638.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 656.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 674.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 692.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 710.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 728.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 746.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 764.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 782.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 800.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 818.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 836.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 854.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 872.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 890.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 908.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [54.0, 926.0, 686.0, 18.0], DqyEa-RnNw, 5741117]
[paragraph, [52.0, 967.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 985.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1003.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1021.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1039.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1057.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1075.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1093.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1111.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1129.0, 689.0, 18.0], TK6hweik6r, 5741117]
[paragraph, [52.0, 1147.0, 689.0, 18.0], TK6hweik6r, 5741117]
[footnote, [419.0, 1173.0, 321.0, 18.0], shoonya_1s30NE7Y2QOGZK, 5741117]
