[792, 612]
[headline, [57.0, 110.0, 168.0, 25.5], 9eqEGypVPY, 6516874]
[headline, [57.0, 135.5, 168.0, 25.5], 9eqEGypVPY, 6516874]
[headline, [57.0, 161.0, 168.0, 25.5], 9eqEGypVPY, 6516874]
[headline, [57.0, 186.5, 168.0, 25.5], 9eqEGypVPY, 6516874]
[headline, [57.0, 212.0, 168.0, 25.5], 9eqEGypVPY, 6516874]
[author, [56.0, 254.0, 163.0, 18.0], A-E7BGGtIM, 6516874]
[answer, [392.0, 293.0, 164.0, 18.0], cVjaqe-Dkq, 6516874]
[answer, [392.0, 311.0, 164.0, 18.0], cVjaqe-Dkq, 6516874]
[answer, [392.0, 329.0, 164.0, 18.0], cVjaqe-Dkq, 6516874]
[answer, [392.0, 347.0, 164.0, 18.0], cVjaqe-Dkq, 6516874]
[answer, [392.0, 365.0, 164.0, 18.0], cVjaqe-Dkq, 6516874]
[answer, [392.0, 383.0, 164.0, 18.0], cVjaqe-Dkq, 6516874]
[answer, [225.0, 294.0, 160.0, 18.0], stMfQSlCE7, 6516874]
[answer, [225.0, 312.0, 160.0, 18.0], stMfQSlCE7, 6516874]
[answer, [225.0, 330.0, 160.0, 18.0], stMfQSlCE7, 6516874]
[paragraph, [56.0, 295.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 313.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 331.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 349.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 367.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 385.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 403.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 421.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 439.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 457.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 475.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 493.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 511.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 529.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 547.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[paragraph, [56.0, 565.0, 162.0, 18.0], l-J2TL5O7e, 6516874]
[answer, [223.0, 375.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 393.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 411.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 429.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 447.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 465.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 483.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 501.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 519.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [223.0, 537.0, 165.0, 18.0], _--MT408SS, 6516874]
[answer, [393.0, 453.0, 162.0, 18.0], QJKK2SXbtx, 6516874]
[answer, [393.0, 471.0, 162.0, 18.0], QJKK2SXbtx, 6516874]
[answer, [393.0, 489.0, 162.0, 18.0], QJKK2SXbtx, 6516874]
[answer, [393.0, 507.0, 162.0, 18.0], QJKK2SXbtx, 6516874]
[answer, [392.0, 570.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 588.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 606.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 624.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 642.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 660.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 678.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 696.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 714.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [392.0, 732.0, 162.0, 18.0], tc-Hper3RT, 6516874]
[answer, [224.0, 609.0, 163.0, 18.0], 56Tam8RhRL, 6516874]
[answer, [224.0, 627.0, 163.0, 18.0], 56Tam8RhRL, 6516874]
[answer, [57.0, 648.0, 161.0, 18.0], VhTDPnOX4L, 6516874]
[answer, [57.0, 666.0, 161.0, 18.0], VhTDPnOX4L, 6516874]
[answer, [57.0, 684.0, 161.0, 18.0], VhTDPnOX4L, 6516874]
[answer, [57.0, 702.0, 161.0, 18.0], VhTDPnOX4L, 6516874]
[answer, [57.0, 720.0, 161.0, 18.0], VhTDPnOX4L, 6516874]
[answer, [224.0, 700.0, 162.0, 18.0], pvVLb8EJKr, 6516874]
[answer, [224.0, 718.0, 162.0, 18.0], pvVLb8EJKr, 6516874]
