[1500, 1050]
[folio, [162.0, 65.0, 208.0, 36.0], KtiW3bhLFO, 5759954]
[paragraph, [212.0, 124.0, 491.0, 36.0], 228qKGDhas, 5759954]
[paragraph, [212.0, 160.0, 491.0, 36.0], 228qKGDhas, 5759954]
[paragraph, [169.0, 196.0, 676.0, 36.0], PFUtNvl8Qe, 5759954]
[paragraph, [169.0, 232.0, 676.0, 36.0], PFUtNvl8Qe, 5759954]
[paragraph, [169.0, 268.0, 676.0, 36.0], PFUtNvl8Qe, 5759954]
[paragraph, [169.0, 304.0, 676.0, 36.0], PFUtNvl8Qe, 5759954]
[paragraph, [166.0, 426.0, 680.0, 36.0], _MAUGE6gPY, 5759954]
[paragraph, [166.0, 462.0, 680.0, 36.0], _MAUGE6gPY, 5759954]
[paragraph, [166.0, 498.0, 680.0, 36.0], _MAUGE6gPY, 5759954]
[paragraph, [166.0, 534.0, 680.0, 36.0], _MAUGE6gPY, 5759954]
[paragraph, [159.0, 588.0, 686.0, 36.0], NKTklFBxsO, 5759954]
[paragraph, [159.0, 624.0, 686.0, 36.0], NKTklFBxsO, 5759954]
[paragraph, [159.0, 660.0, 686.0, 36.0], NKTklFBxsO, 5759954]
[paragraph, [159.0, 696.0, 686.0, 36.0], NKTklFBxsO, 5759954]
[paragraph, [159.0, 732.0, 686.0, 36.0], NKTklFBxsO, 5759954]
[paragraph, [157.0, 781.0, 684.0, 36.0], O_d0nmJMEU, 5759954]
[paragraph, [157.0, 817.0, 684.0, 36.0], O_d0nmJMEU, 5759954]
[paragraph, [157.0, 853.0, 684.0, 36.0], O_d0nmJMEU, 5759954]
[paragraph, [157.0, 889.0, 684.0, 36.0], O_d0nmJMEU, 5759954]
[paragraph, [157.0, 925.0, 684.0, 36.0], O_d0nmJMEU, 5759954]
[paragraph, [158.0, 975.0, 689.0, 36.0], thPqcefUMS, 5759954]
[paragraph, [158.0, 1011.0, 689.0, 36.0], thPqcefUMS, 5759954]
[paragraph, [158.0, 1047.0, 689.0, 36.0], thPqcefUMS, 5759954]
[paragraph, [158.0, 1083.0, 689.0, 36.0], thPqcefUMS, 5759954]
[paragraph, [158.0, 1119.0, 689.0, 36.0], thPqcefUMS, 5759954]
[paragraph, [154.0, 1199.0, 692.0, 36.0], KscYwyeIaq, 5759954]
[paragraph, [154.0, 1235.0, 692.0, 36.0], KscYwyeIaq, 5759954]
[paragraph, [154.0, 1271.0, 692.0, 36.0], KscYwyeIaq, 5759954]
[paragraph, [154.0, 1307.0, 692.0, 36.0], KscYwyeIaq, 5759954]
[paragraph, [154.0, 1343.0, 692.0, 36.0], KscYwyeIaq, 5759954]
