[1987, 1270]
[folio, [598.0, 126.0, 86.0, 36.0], shoonya_6sJJO692R9C23N, 5683372]
[paragraph, [136.0, 191.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 227.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 263.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 299.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 335.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 371.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 407.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 443.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 479.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 515.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [136.0, 551.0, 1008.0, 36.0], shoonya_1s3NKKFT41GLLH, 5683372]
[paragraph, [132.0, 611.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [132.0, 647.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [132.0, 683.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [132.0, 719.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [132.0, 755.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [132.0, 791.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [132.0, 827.0, 1009.0, 36.0], shoonya_2sQ1F2LJPC4XHH, 5683372]
[paragraph, [133.0, 873.0, 1009.0, 36.0], shoonya_4sP7QUNVPVHQA9, 5683372]
[paragraph, [133.0, 909.0, 1009.0, 36.0], shoonya_4sP7QUNVPVHQA9, 5683372]
[paragraph, [133.0, 945.0, 1009.0, 36.0], shoonya_4sP7QUNVPVHQA9, 5683372]
[paragraph, [133.0, 981.0, 1009.0, 36.0], shoonya_4sP7QUNVPVHQA9, 5683372]
[paragraph, [129.0, 1030.0, 1012.0, 36.0], shoonya_3sZBLK0XSBYOS4, 5683372]
[paragraph, [129.0, 1066.0, 1012.0, 36.0], shoonya_3sZBLK0XSBYOS4, 5683372]
[paragraph, [129.0, 1102.0, 1012.0, 36.0], shoonya_3sZBLK0XSBYOS4, 5683372]
[paragraph, [129.0, 1138.0, 1012.0, 36.0], shoonya_3sZBLK0XSBYOS4, 5683372]
[paragraph, [129.0, 1174.0, 1012.0, 36.0], shoonya_3sZBLK0XSBYOS4, 5683372]
[paragraph, [129.0, 1237.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1273.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1309.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1345.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1381.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1417.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1453.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1489.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1525.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1561.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1597.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1633.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1669.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1705.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1741.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1777.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
[paragraph, [129.0, 1813.0, 1016.0, 36.0], shoonya_0s13QLQMORCH88, 5683372]
