[1518, 1075]
[folio, [547.0, 110.0, 86.0, 36.0], shoonya_6s1NL79EY6PNKA, 5722664]
[paragraph, [558.0, 172.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [558.0, 208.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [558.0, 244.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [558.0, 280.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [558.0, 316.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [558.0, 352.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [558.0, 388.0, 430.0, 36.0], shoonya_3sI38JVBSKR18O, 5722664]
[paragraph, [114.0, 173.0, 429.0, 36.0], shoonya_5sSLZ9ZZ240TDY, 5722664]
[paragraph, [114.0, 209.0, 429.0, 36.0], shoonya_5sSLZ9ZZ240TDY, 5722664]
[paragraph, [116.0, 258.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 294.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 330.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 366.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 402.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 438.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 474.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 510.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 546.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 582.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 618.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 654.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 690.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 726.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 762.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
[paragraph, [116.0, 798.0, 424.0, 36.0], shoonya_1sBCDH2QJSK1ZP, 5722664]
