[1723, 1092]
[paragraph, [105.0, 95.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 131.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 167.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 203.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 239.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 275.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 311.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 347.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 383.0, 877.0, 36.0], shoonya_1sLDCJ1SZHUKAN, 5680557]
[paragraph, [105.0, 458.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 494.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 530.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 566.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 602.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 638.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 674.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 710.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 746.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 782.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 818.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 854.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 890.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 926.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 962.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 998.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1034.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1070.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1106.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1142.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1178.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1214.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1250.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1286.0, 881.0, 36.0], shoonya_0sCM8V0J644HO3, 5680557]
[paragraph, [105.0, 1347.0, 889.0, 36.0], shoonya_2sE9STV0GGF5I0, 5680557]
[paragraph, [105.0, 1383.0, 889.0, 36.0], shoonya_2sE9STV0GGF5I0, 5680557]
[paragraph, [105.0, 1419.0, 889.0, 36.0], shoonya_2sE9STV0GGF5I0, 5680557]
[paragraph, [105.0, 1455.0, 889.0, 36.0], shoonya_2sE9STV0GGF5I0, 5680557]
[paragraph, [105.0, 1491.0, 889.0, 36.0], shoonya_2sE9STV0GGF5I0, 5680557]
[folio, [466.0, 1582.0, 139.0, 36.0], 6s3kiWFBRt, 5680557]
