[515, 727]
[paragraph, [425.0, 36.0, 261.0, 18.0], SbMhVoqYpv, 6533105]
[paragraph, [425.0, 54.0, 261.0, 18.0], SbMhVoqYpv, 6533105]
[paragraph, [425.0, 72.0, 261.0, 18.0], SbMhVoqYpv, 6533105]
[paragraph, [122.0, 40.0, 261.0, 18.0], d7WdquiERl, 6533105]
[paragraph, [122.0, 58.0, 261.0, 18.0], d7WdquiERl, 6533105]
[paragraph, [120.0, 83.0, 262.0, 18.0], AtBoWcLqPE, 6533105]
[paragraph, [120.0, 101.0, 262.0, 18.0], AtBoWcLqPE, 6533105]
[paragraph, [120.0, 119.0, 262.0, 18.0], AtBoWcLqPE, 6533105]
[paragraph, [425.0, 105.0, 261.0, 18.0], HcLwJULNnG, 6533105]
[paragraph, [425.0, 123.0, 261.0, 18.0], HcLwJULNnG, 6533105]
[paragraph, [425.0, 141.0, 261.0, 18.0], HcLwJULNnG, 6533105]
[paragraph, [425.0, 159.0, 261.0, 18.0], HcLwJULNnG, 6533105]
[paragraph, [117.0, 148.0, 262.0, 18.0], e-qZ7NKEub, 6533105]
[paragraph, [117.0, 166.0, 262.0, 18.0], e-qZ7NKEub, 6533105]
[paragraph, [117.0, 184.0, 262.0, 18.0], e-qZ7NKEub, 6533105]
[paragraph, [425.0, 189.0, 261.0, 18.0], QX5fHWPUEt, 6533105]
[paragraph, [425.0, 207.0, 261.0, 18.0], QX5fHWPUEt, 6533105]
[paragraph, [425.0, 225.0, 261.0, 18.0], QX5fHWPUEt, 6533105]
[paragraph, [425.0, 243.0, 261.0, 18.0], QX5fHWPUEt, 6533105]
[paragraph, [425.0, 261.0, 261.0, 18.0], QX5fHWPUEt, 6533105]
[paragraph, [425.0, 279.0, 261.0, 18.0], QX5fHWPUEt, 6533105]
[paragraph, [119.0, 207.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [119.0, 225.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [119.0, 243.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [119.0, 261.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [119.0, 279.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [119.0, 297.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [119.0, 315.0, 261.0, 18.0], shoonya_0sYU12RKMHSI8A, 6533105]
[paragraph, [424.0, 299.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [424.0, 317.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [424.0, 335.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [424.0, 353.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [424.0, 371.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [424.0, 389.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [424.0, 407.0, 269.0, 18.0], 3EketSzK3l, 6533105]
[paragraph, [115.0, 339.0, 264.0, 18.0], 915MwMkWan, 6533105]
[paragraph, [115.0, 357.0, 264.0, 18.0], 915MwMkWan, 6533105]
[paragraph, [115.0, 375.0, 264.0, 18.0], 915MwMkWan, 6533105]
[paragraph, [132.0, 408.0, 241.0, 18.0], Fbj4IDNGn1, 6533105]
[folio, [427.0, 431.0, 81.0, 18.0], q-oYttRGVF, 6533105]
[folio, [290.0, 435.0, 86.0, 18.0], VYWDMwaEV-, 6533105]
