[1162, 749]
[folio, [306.0, 74.0, 137.0, 18.0], shoonya_3sXQCN97TTB0D7, 5700106]
[paragraph, [78.0, 119.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 137.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 155.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 173.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 191.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 209.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 227.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 245.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 263.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 281.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 299.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 317.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [78.0, 335.0, 593.0, 18.0], shoonya_0sUXTGZ8AP6AKK, 5700106]
[paragraph, [79.0, 362.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 380.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 398.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 416.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 434.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 452.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 470.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 488.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 506.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 524.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [79.0, 542.0, 590.0, 18.0], shoonya_1sJRQQ3NWOTNXZ, 5700106]
[paragraph, [77.0, 566.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 584.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 602.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 620.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 638.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 656.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 674.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 692.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 710.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 728.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 746.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 764.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 782.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 800.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 818.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 836.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 854.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 872.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 890.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 908.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 926.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 944.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 962.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 980.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 998.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 1016.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 1034.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 1052.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
[paragraph, [77.0, 1070.0, 591.0, 18.0], shoonya_2sCR29F6IA4OLM, 5700106]
