[2334, 1650]
[paragraph, [132.0, 94.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 130.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 166.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 202.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 238.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 274.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 310.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 346.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 382.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 418.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 454.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [132.0, 490.0, 1276.0, 36.0], shoonya_0s666EO8XILO31, 5652764]
[paragraph, [115.0, 552.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 588.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 624.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 660.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 696.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 732.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 768.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 804.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 840.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 876.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 912.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 948.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 984.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 1020.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 1056.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 1092.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [115.0, 1128.0, 1310.0, 36.0], 5q2P3C7m92, 5652764]
[paragraph, [100.0, 1184.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1220.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1256.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1292.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1328.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1364.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1400.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1436.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1472.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1508.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1544.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1580.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1616.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1652.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1688.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1724.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1760.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1796.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1832.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [100.0, 1868.0, 1386.0, 36.0], q1wMkQv4oB, 5652764]
[paragraph, [78.0, 1919.0, 1421.0, 36.0], cVgR1kZOIg, 5652764]
[paragraph, [78.0, 1955.0, 1421.0, 36.0], cVgR1kZOIg, 5652764]
[paragraph, [78.0, 1991.0, 1421.0, 36.0], cVgR1kZOIg, 5652764]
[folio, [1167.0, 2092.0, 113.0, 36.0], E_P6WQwUQK, 5652764]
