[1565, 1152]
[headline, [690.0, 119.0, 369.0, 37.5], Gb4gXp0Pn-, 5712947]
[headline, [690.0, 156.5, 369.0, 37.5], Gb4gXp0Pn-, 5712947]
[paragraph, [112.0, 120.0, 408.0, 36.0], shoonya_8s3W0H00NLI193, 5712947]
[paragraph, [105.0, 186.0, 426.0, 36.0], shoonya_7sLUQ410EDQRAZ, 5712947]
[paragraph, [105.0, 222.0, 426.0, 36.0], shoonya_7sLUQ410EDQRAZ, 5712947]
[paragraph, [105.0, 258.0, 426.0, 36.0], shoonya_7sLUQ410EDQRAZ, 5712947]
[paragraph, [105.0, 294.0, 426.0, 36.0], shoonya_7sLUQ410EDQRAZ, 5712947]
[sub-headline, [867.0, 329.0, 205.0, 36.0], dVkeli0TIR, 5712947]
[sub-headline, [867.0, 365.0, 205.0, 36.0], dVkeli0TIR, 5712947]
[sub-headline, [867.0, 401.0, 205.0, 36.0], dVkeli0TIR, 5712947]
[sub-headline, [867.0, 437.0, 205.0, 36.0], dVkeli0TIR, 5712947]
[sub-headline, [867.0, 473.0, 205.0, 36.0], dVkeli0TIR, 5712947]
[paragraph, [105.0, 352.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 388.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 424.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 460.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 496.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 532.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 568.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [105.0, 604.0, 431.0, 36.0], shoonya_1sE0U7PPY14T0P, 5712947]
[paragraph, [549.0, 641.0, 488.0, 36.0], shoonya_3sTUF51KRM4ZE1, 5712947]
[paragraph, [549.0, 677.0, 488.0, 36.0], shoonya_3sTUF51KRM4ZE1, 5712947]
[paragraph, [103.0, 666.0, 435.0, 36.0], shoonya_0sXG9WMVRM1EL5, 5712947]
[paragraph, [103.0, 702.0, 435.0, 36.0], shoonya_0sXG9WMVRM1EL5, 5712947]
[paragraph, [103.0, 738.0, 435.0, 36.0], shoonya_0sXG9WMVRM1EL5, 5712947]
[paragraph, [103.0, 774.0, 435.0, 36.0], shoonya_0sXG9WMVRM1EL5, 5712947]
[paragraph, [103.0, 810.0, 435.0, 36.0], shoonya_0sXG9WMVRM1EL5, 5712947]
[paragraph, [103.0, 846.0, 435.0, 36.0], shoonya_0sXG9WMVRM1EL5, 5712947]
[paragraph, [548.0, 735.0, 492.0, 36.0], shoonya_2sTK0UHQS9IUR7, 5712947]
[paragraph, [548.0, 771.0, 492.0, 36.0], shoonya_2sTK0UHQS9IUR7, 5712947]
[paragraph, [548.0, 807.0, 492.0, 36.0], shoonya_2sTK0UHQS9IUR7, 5712947]
[paragraph, [548.0, 843.0, 492.0, 36.0], shoonya_2sTK0UHQS9IUR7, 5712947]
[paragraph, [548.0, 879.0, 492.0, 36.0], shoonya_2sTK0UHQS9IUR7, 5712947]
[paragraph, [92.0, 916.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [92.0, 952.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [92.0, 988.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [92.0, 1024.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [92.0, 1060.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [92.0, 1096.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [92.0, 1132.0, 450.0, 36.0], shoonya_5sS78N4GDMIGSM, 5712947]
[paragraph, [547.0, 924.0, 496.0, 36.0], shoonya_9s6SXZZX7AZXI0, 5712947]
[paragraph, [547.0, 960.0, 496.0, 36.0], shoonya_9s6SXZZX7AZXI0, 5712947]
[paragraph, [547.0, 996.0, 496.0, 36.0], shoonya_9s6SXZZX7AZXI0, 5712947]
[paragraph, [547.0, 1032.0, 496.0, 36.0], shoonya_9s6SXZZX7AZXI0, 5712947]
[paragraph, [547.0, 1068.0, 496.0, 36.0], shoonya_9s6SXZZX7AZXI0, 5712947]
[paragraph, [555.0, 1113.0, 487.0, 36.0], 0A8w-r4X9G, 5712947]
[paragraph, [547.0, 1170.0, 490.0, 36.0], tRZbhp1N0Q, 5712947]
[paragraph, [547.0, 1206.0, 490.0, 36.0], tRZbhp1N0Q, 5712947]
[paragraph, [547.0, 1242.0, 490.0, 36.0], tRZbhp1N0Q, 5712947]
[paragraph, [91.0, 1183.0, 450.0, 36.0], shoonya_4sY485Q3XWONTZ, 5712947]
[paragraph, [91.0, 1219.0, 450.0, 36.0], shoonya_4sY485Q3XWONTZ, 5712947]
[paragraph, [91.0, 1255.0, 450.0, 36.0], shoonya_4sY485Q3XWONTZ, 5712947]
[paragraph, [550.0, 1287.0, 476.0, 36.0], vKwvdmOgF4, 5712947]
[paragraph, [92.0, 1313.0, 441.0, 36.0], nscMkK6SIm, 5712947]
[paragraph, [92.0, 1349.0, 441.0, 36.0], nscMkK6SIm, 5712947]
[paragraph, [92.0, 1385.0, 441.0, 36.0], nscMkK6SIm, 5712947]
[folio, [903.0, 1445.0, 133.0, 36.0], foT7SW6rfT, 5712947]
