[3300, 2550]
[paragraph, [280.0, 290.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 342.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 395.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 447.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 500.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 552.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 605.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 657.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 710.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 762.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 815.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 867.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 920.0, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [280.0, 972.5, 1998.0, 52.5], YdmpOvB1Hr, 5720507]
[paragraph, [283.0, 1189.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1241.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1294.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1346.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1399.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1451.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1504.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1556.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1609.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1661.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1714.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1766.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1819.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1871.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1924.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 1976.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 2029.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 2081.5, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [283.0, 2134.0, 2004.0, 52.5], EdXyej3UWJ, 5720507]
[paragraph, [270.0, 2225.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2277.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2330.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2382.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2435.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2487.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2540.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2592.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2645.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2697.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2750.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2802.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2855.0, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
[paragraph, [270.0, 2907.5, 2004.0, 52.5], 5x36oLAcnJ, 5720507]
