[2806, 1984]
[folio, [456.0, 114.0, 1060.0, 46.5], shoonya_2sGVC7EHR8SD6C, 5699201]
[section-title, [334.0, 195.0, 605.0, 79.5], PQ3v0kMvEi, 5699201]
[ordered-list, [220.0, 292.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 338.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 385.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 431.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 478.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 524.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 571.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 617.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 664.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 710.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 757.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 803.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 850.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 896.5, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[ordered-list, [220.0, 943.0, 1559.0, 46.5], _VT9xpnXIZ, 5699201]
[sub-ordered-list, [307.0, 380.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 426.5, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 473.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 519.5, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 566.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 612.5, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 659.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 705.5, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 752.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 798.5, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 845.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 891.5, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[sub-ordered-list, [307.0, 938.0, 1461.0, 46.5], shoonya_3s6W6V7Q3GD2HL, 5699201]
[unordered-list, [198.0, 1109.0, 1587.0, 46.5], u_F0X7l56F, 5699201]
[unordered-list, [198.0, 1155.5, 1587.0, 46.5], u_F0X7l56F, 5699201]
[unordered-list, [198.0, 1202.0, 1587.0, 46.5], u_F0X7l56F, 5699201]
[unordered-list, [198.0, 1248.5, 1587.0, 46.5], u_F0X7l56F, 5699201]
[unordered-list, [198.0, 1295.0, 1587.0, 46.5], u_F0X7l56F, 5699201]
[unordered-list, [198.0, 1341.5, 1587.0, 46.5], u_F0X7l56F, 5699201]
[unordered-list, [198.0, 1388.0, 1587.0, 46.5], u_F0X7l56F, 5699201]
