[1754, 1241]
[ordered-list, [167.0, 367.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 403.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 439.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 475.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 511.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 547.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 583.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 619.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 655.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 691.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 727.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 763.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 799.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 835.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 871.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 907.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 943.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 979.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1015.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1051.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1087.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1123.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1159.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1195.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1231.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1267.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1303.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1339.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
[ordered-list, [167.0, 1375.0, 794.0, 36.0], shoonya_0sCMYUZKLB8QZR, 5693670]
