[1200, 825]
[paragraph, [144.0, 108.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 126.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 144.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 162.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 180.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 198.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 216.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 234.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 252.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 270.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 288.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 306.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 324.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 342.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [144.0, 360.0, 538.0, 18.0], shoonya_1sNSICNKJPO185, 5690796]
[paragraph, [145.0, 387.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 405.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 423.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 441.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 459.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 477.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 495.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 513.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 531.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 549.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 567.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 585.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 603.0, 536.0, 18.0], shoonya_5s6O00ETD5Z7NQ, 5690796]
[paragraph, [145.0, 633.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 651.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 669.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 687.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 705.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 723.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 741.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 759.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 777.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 795.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 813.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 831.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [145.0, 849.0, 537.0, 18.0], shoonya_0s5KHC0RCSWHKC, 5690796]
[paragraph, [144.0, 873.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 891.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 909.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 927.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 945.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 963.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 981.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 999.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 1017.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
[paragraph, [144.0, 1035.0, 538.0, 18.0], shoonya_2sQUE1T9SMNHR6, 5690796]
