[1200, 825]
[paragraph, [143.0, 107.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 125.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 143.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 161.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 179.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 197.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 215.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 233.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 251.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 269.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 287.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 305.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 323.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 341.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 359.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 377.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 395.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 413.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 431.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 449.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 467.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [143.0, 485.0, 540.0, 18.0], shoonya_0sQIA5RU1CZRHL, 5690763]
[paragraph, [145.0, 511.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 529.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 547.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 565.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 583.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 601.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 619.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 637.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 655.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 673.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 691.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 709.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 727.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 745.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [145.0, 763.0, 537.0, 18.0], shoonya_2sCJCWUP81C18D, 5690763]
[paragraph, [144.0, 788.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 806.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 824.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 842.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 860.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 878.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 896.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 914.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 932.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 950.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 968.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 986.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 1004.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 1022.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
[paragraph, [144.0, 1040.0, 536.0, 18.0], shoonya_1sVMGHKPH8D3UL, 5690763]
