[842, 595]
[unordered-list, [298.0, 89.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 107.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 125.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 143.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 161.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 179.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 197.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 215.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 233.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 251.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 269.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 287.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 305.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 323.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 341.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 359.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 377.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 395.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 413.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 431.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 449.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 467.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [298.0, 485.0, 248.0, 18.0], m9b232QxjF, 5767954]
[unordered-list, [53.0, 112.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 130.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 148.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 166.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 184.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 202.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 220.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 238.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 256.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 274.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 292.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 310.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 328.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 346.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 364.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 382.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 400.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 418.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 436.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 454.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 472.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[unordered-list, [53.0, 490.0, 243.0, 18.0], shoonya_0s756EK59RUR6O, 5767954]
[section-title, [61.0, 524.0, 473.0, 30.0], gHKN6zF42M, 5767954]
[paragraph, [57.0, 560.0, 478.0, 18.0], FP9agTzIUg, 5767954]
[paragraph, [57.0, 578.0, 478.0, 18.0], FP9agTzIUg, 5767954]
[paragraph, [57.0, 596.0, 478.0, 18.0], FP9agTzIUg, 5767954]
[paragraph, [57.0, 614.0, 478.0, 18.0], FP9agTzIUg, 5767954]
[paragraph, [59.0, 643.0, 242.0, 18.0], Htr34eyCYs, 5767954]
[paragraph, [59.0, 661.0, 242.0, 18.0], Htr34eyCYs, 5767954]
[paragraph, [59.0, 679.0, 242.0, 18.0], Htr34eyCYs, 5767954]
[paragraph, [59.0, 697.0, 242.0, 18.0], Htr34eyCYs, 5767954]
[paragraph, [59.0, 715.0, 242.0, 18.0], Htr34eyCYs, 5767954]
[paragraph, [292.0, 643.0, 244.0, 18.0], ehkJ0lYNmM, 5767954]
[paragraph, [292.0, 661.0, 244.0, 18.0], ehkJ0lYNmM, 5767954]
[contact-info, [297.0, 693.0, 241.0, 18.0], 77d11N2FRz, 5767954]
[contact-info, [297.0, 711.0, 241.0, 18.0], 77d11N2FRz, 5767954]
[footnote, [358.0, 744.0, 146.0, 18.0], bZXsCjFavf, 5767954]
