[1255, 736]
[folio, [561.0, 30.0, 112.0, 18.0], shoonya_14sXYUEUH1F9D1, 5781723]
[folio, [561.0, 48.0, 112.0, 18.0], shoonya_14sXYUEUH1F9D1, 5781723]
[folio, [185.0, 82.0, 326.0, 18.0], shoonya_8sC9NAOQH28MX2, 5781723]
[ordered-list, [22.0, 120.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 138.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 156.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 174.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 192.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 210.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 228.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 246.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [22.0, 264.0, 655.0, 18.0], shoonya_1sG5UVG2NEHWR4, 5781723]
[ordered-list, [14.0, 291.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 309.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 327.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 345.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 363.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 381.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 399.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 417.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 435.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 453.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 471.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 489.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 507.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 525.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 543.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 561.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 579.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 597.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 615.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 633.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 651.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 669.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 687.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 705.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 723.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 741.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 759.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 777.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 795.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 813.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 831.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 849.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 867.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 885.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 903.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 921.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 939.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 957.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 975.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 993.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1011.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1029.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1047.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1065.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1083.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1101.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1119.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1137.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1155.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[ordered-list, [14.0, 1173.0, 661.0, 18.0], shoonya_13s9MAW1FA73O4, 5781723]
[sub-ordered-list, [22.0, 319.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 337.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 355.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 373.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 391.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 409.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 427.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 445.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 463.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 481.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 499.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 517.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 535.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 553.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 571.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 589.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 607.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 625.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [22.0, 643.0, 650.0, 18.0], shoonya_9sUQ0LOYHH1Y4A, 5781723]
[sub-ordered-list, [14.0, 700.0, 657.0, 18.0], shoonya_7sJ24DLB26XJX2, 5781723]
[sub-ordered-list, [14.0, 718.0, 657.0, 18.0], shoonya_7sJ24DLB26XJX2, 5781723]
