[1728, 1123]
[headline, [126.0, 265.0, 742.0, 37.5], shoonya_4sJ6RH425RVRH3, 5752226]
[paragraph, [102.0, 349.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 385.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 421.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 457.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 493.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 529.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 565.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 601.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 637.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 673.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [102.0, 709.0, 785.0, 36.0], shoonya_2s55N28K25FZIC, 5752226]
[paragraph, [103.0, 775.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 811.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 847.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 883.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 919.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 955.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 991.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [103.0, 1027.0, 784.0, 36.0], shoonya_1s7QLVA8BPPRET, 5752226]
[paragraph, [100.0, 1069.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1105.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1141.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1177.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1213.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1249.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1285.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1321.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1357.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1393.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1429.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
[paragraph, [100.0, 1465.0, 789.0, 36.0], shoonya_0s8W60ISAQ9J08, 5752226]
