[2339, 1654]
[folio, [1334.0, 68.0, 223.0, 36.0], shoonya_0sR0D5ZP1H0KIU, 5750401]
[paragraph, [136.0, 122.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 158.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 194.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 230.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 266.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 302.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 338.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 374.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 410.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 446.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 482.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 518.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 554.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 590.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 626.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 662.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [136.0, 698.0, 1430.0, 36.0], mKukZnUDyQ, 5750401]
[paragraph, [272.0, 769.0, 1157.0, 36.0], -Ig8xqQ0sS, 5750401]
[paragraph, [272.0, 805.0, 1157.0, 36.0], -Ig8xqQ0sS, 5750401]
[paragraph, [272.0, 841.0, 1157.0, 36.0], -Ig8xqQ0sS, 5750401]
[paragraph, [272.0, 877.0, 1157.0, 36.0], -Ig8xqQ0sS, 5750401]
[reference, [940.0, 907.0, 500.0, 36.0], -I_rmRmXWr, 5750401]
[reference, [940.0, 943.0, 500.0, 36.0], -I_rmRmXWr, 5750401]
[paragraph, [133.0, 985.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1021.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1057.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1093.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1129.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1165.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1201.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [133.0, 1237.0, 1447.0, 36.0], shoonya_2s72ZM2WOS5JDD, 5750401]
[paragraph, [287.0, 1317.0, 1151.0, 36.0], WnwEAMF38k, 5750401]
[paragraph, [287.0, 1353.0, 1151.0, 36.0], WnwEAMF38k, 5750401]
[paragraph, [287.0, 1389.0, 1151.0, 36.0], WnwEAMF38k, 5750401]
[reference, [1025.0, 1445.0, 396.0, 36.0], 9k2wJ5cGJ0, 5750401]
[paragraph, [138.0, 1510.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1546.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1582.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1618.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1654.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1690.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1726.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1762.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [138.0, 1798.0, 1448.0, 36.0], shoonya_3sMMA31V1LZ3EO, 5750401]
[paragraph, [285.0, 1842.0, 1145.0, 36.0], 6dpZTtcknQ, 5750401]
[paragraph, [285.0, 1878.0, 1145.0, 36.0], 6dpZTtcknQ, 5750401]
[paragraph, [285.0, 1914.0, 1145.0, 36.0], 6dpZTtcknQ, 5750401]
[reference, [1019.0, 1979.0, 411.0, 36.0], -N6_T2AAFf, 5750401]
[paragraph, [152.0, 2049.0, 1424.0, 36.0], GBO4NwzyVA, 5750401]
[paragraph, [152.0, 2085.0, 1424.0, 36.0], GBO4NwzyVA, 5750401]
[paragraph, [152.0, 2121.0, 1424.0, 36.0], GBO4NwzyVA, 5750401]
[paragraph, [152.0, 2157.0, 1424.0, 36.0], GBO4NwzyVA, 5750401]
[paragraph, [274.0, 2188.0, 1178.0, 36.0], IDyrZC99Hh, 5750401]
[paragraph, [274.0, 2224.0, 1178.0, 36.0], IDyrZC99Hh, 5750401]
