[2200, 1700]
[folio, [768.0, 394.0, 157.0, 36.0], JR47AvQH6Y, 5732547]
[paragraph, [446.0, 485.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 521.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 557.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 593.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 629.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 665.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 701.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 737.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 773.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 809.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 845.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 881.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 917.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 953.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 989.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1025.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1061.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1097.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1133.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1169.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1205.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1241.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1277.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1313.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1349.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1385.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1421.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [446.0, 1457.0, 806.0, 36.0], shoonya_0sGLBX2D2LZF9D, 5732547]
[paragraph, [470.0, 1512.0, 788.0, 36.0], shoonya_1sUUVFYRJ3R5AQ, 5732547]
[paragraph, [470.0, 1548.0, 788.0, 36.0], shoonya_1sUUVFYRJ3R5AQ, 5732547]
[paragraph, [470.0, 1584.0, 788.0, 36.0], shoonya_1sUUVFYRJ3R5AQ, 5732547]
[paragraph, [460.0, 1633.0, 793.0, 36.0], shoonya_2sY44RLKPFMBRW, 5732547]
[paragraph, [460.0, 1669.0, 793.0, 36.0], shoonya_2sY44RLKPFMBRW, 5732547]
[paragraph, [460.0, 1705.0, 793.0, 36.0], shoonya_2sY44RLKPFMBRW, 5732547]
[footnote, [1296.0, 2028.0, 224.0, 36.0], wvQ7eGC_pQ, 5732547]
[footnote, [1296.0, 2064.0, 224.0, 36.0], wvQ7eGC_pQ, 5732547]
[folio, [810.0, 2110.0, 186.0, 36.0], DnZUiTcSTC, 5732547]
