[1518, 1075]
[paragraph, [103.0, 170.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 206.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 242.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 278.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 314.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 350.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 386.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 422.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 458.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 494.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 530.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 566.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 602.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 638.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 674.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 710.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 746.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 782.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 818.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 854.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 890.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 926.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 962.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 998.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 1034.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 1070.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 1106.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 1142.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 1178.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [103.0, 1214.0, 442.0, 36.0], WQYlmhxQak, 5721936]
[paragraph, [553.0, 170.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 206.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 242.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 278.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 314.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 350.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 386.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [553.0, 422.0, 442.0, 36.0], 7dLqhDeaMB, 5721936]
[paragraph, [557.0, 469.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 505.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 541.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 577.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 613.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 649.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 685.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 721.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 757.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 793.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 829.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 865.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [557.0, 901.0, 436.0, 36.0], shoonya_0s1Z02Z5PJ6TPC, 5721936]
[paragraph, [592.0, 990.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1026.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1062.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1098.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1134.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1170.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1206.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [592.0, 1242.0, 364.0, 36.0], _n9wQA5q7G, 5721936]
[paragraph, [103.0, 1273.0, 442.0, 36.0], B5gT8f5-PS, 5721936]
[folio, [223.0, 1335.0, 653.0, 36.0], Jbci2H9op0, 5721936]
