[1162, 749]
[folio, [315.0, 74.0, 128.0, 18.0], shoonya_5sU2XIT558L5OY, 5699627]
[section-title, [136.0, 118.0, 485.0, 30.0], kEJ4sBxXna, 5699627]
[section-title, [136.0, 148.0, 485.0, 30.0], kEJ4sBxXna, 5699627]
[section-title, [136.0, 178.0, 485.0, 30.0], kEJ4sBxXna, 5699627]
[paragraph, [76.0, 243.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 261.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 279.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 297.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 315.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 333.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 351.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 369.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 387.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 405.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 423.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 441.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 459.0, 595.0, 18.0], shoonya_1sDR7NALF4AG43, 5699627]
[paragraph, [76.0, 500.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 518.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 536.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 554.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 572.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 590.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 608.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 626.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 644.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 662.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 680.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 698.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 716.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [76.0, 734.0, 596.0, 18.0], shoonya_2s1KQ53YZBBKLE, 5699627]
[paragraph, [77.0, 775.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 793.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 811.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 829.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 847.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 865.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 883.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 901.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 919.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 937.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 955.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 973.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 991.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 1009.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 1027.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 1045.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
[paragraph, [77.0, 1063.0, 596.0, 18.0], shoonya_0sWLK2FCB33AYA, 5699627]
