[843, 596]
[section-title, [55.0, 61.0, 232.0, 30.0], shoonya_13sUCWS0HN7GM0, 5660989]
[ordered-list, [80.0, 91.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 109.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 127.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 145.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 163.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 181.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 199.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 217.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 235.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 253.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 271.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 289.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[ordered-list, [80.0, 307.0, 459.0, 18.0], shoonya_1sXXL9QYW3ICI3, 5660989]
[section-title, [62.0, 337.0, 245.0, 30.0], lWCXi7Vnkd, 5660989]
[ordered-list, [76.0, 536.0, 484.0, 18.0], ZJmN5cPPVJ, 5660989]
[ordered-list, [76.0, 554.0, 484.0, 18.0], ZJmN5cPPVJ, 5660989]
[ordered-list, [76.0, 572.0, 484.0, 18.0], ZJmN5cPPVJ, 5660989]
