[2339, 1653]
[folio, [1095.0, 329.0, 323.0, 36.0], _x0LzuhJUy, 5736052]
[paragraph, [835.0, 389.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 425.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 461.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 497.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 533.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 569.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 605.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 641.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [835.0, 677.0, 579.0, 36.0], s9th-5y3ml, 5736052]
[paragraph, [504.0, 393.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 429.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 465.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 501.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 537.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 573.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 609.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 645.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [504.0, 681.0, 311.0, 36.0], shoonya_0sA6JW9GWMBO8B, 5736052]
[paragraph, [833.0, 743.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 779.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 815.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 851.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 887.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 923.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 959.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 995.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [833.0, 1031.0, 581.0, 36.0], 81-LlhbuMN, 5736052]
[paragraph, [238.0, 748.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 784.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 820.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 856.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 892.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 928.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 964.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 1000.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [238.0, 1036.0, 579.0, 36.0], shoonya_2s6SQBHL895MMI, 5736052]
[paragraph, [236.0, 1098.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1134.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1170.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1206.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1242.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1278.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1314.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1350.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1386.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1422.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1458.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1494.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1530.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1566.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1602.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[paragraph, [236.0, 1638.0, 582.0, 36.0], shoonya_11sHZTTR1VN5DY, 5736052]
[author, [1232.0, 1101.0, 183.0, 36.0], shoonya_6sZFTQ3641OIY4, 5736052]
[sidebar, [1450.0, 1101.0, 144.0, 36.0], jQCXBFvCGI, 5736052]
[section-title, [837.0, 1183.0, 369.0, 52.5], RmeYRrNzbl, 5736052]
[paragraph, [1089.0, 1324.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1360.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1396.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1432.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1468.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1504.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1540.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1576.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [1089.0, 1612.0, 327.0, 36.0], HXKQ9B-VQA, 5736052]
[paragraph, [237.0, 1679.0, 580.0, 36.0], shoonya_13s27Q58C1NBVT, 5736052]
[paragraph, [237.0, 1715.0, 580.0, 36.0], shoonya_13s27Q58C1NBVT, 5736052]
[paragraph, [237.0, 1751.0, 580.0, 36.0], shoonya_13s27Q58C1NBVT, 5736052]
[paragraph, [237.0, 1787.0, 580.0, 36.0], shoonya_13s27Q58C1NBVT, 5736052]
[paragraph, [237.0, 1823.0, 580.0, 36.0], shoonya_13s27Q58C1NBVT, 5736052]
[paragraph, [237.0, 1859.0, 580.0, 36.0], shoonya_13s27Q58C1NBVT, 5736052]
[paragraph, [837.0, 1680.0, 577.0, 36.0], 5Y02UeAh64, 5736052]
[paragraph, [837.0, 1716.0, 577.0, 36.0], 5Y02UeAh64, 5736052]
[paragraph, [837.0, 1752.0, 577.0, 36.0], 5Y02UeAh64, 5736052]
[paragraph, [837.0, 1788.0, 577.0, 36.0], 5Y02UeAh64, 5736052]
[paragraph, [837.0, 1824.0, 577.0, 36.0], 5Y02UeAh64, 5736052]
[paragraph, [837.0, 1860.0, 577.0, 36.0], 5Y02UeAh64, 5736052]
[paragraph, [233.0, 1899.0, 577.0, 36.0], shoonya_16sRYA6T82Y31O, 5736052]
[folio, [233.0, 1969.0, 231.0, 36.0], HdpRweon3V, 5736052]
