[1806, 1262]
[folio, [174.0, 96.0, 512.0, 36.0], shoonya_10s75SSI7BALPB, 5680789]
[paragraph, [107.0, 173.0, 498.0, 36.0], shoonya_7s6BON3ZLV1M11, 5680789]
[paragraph, [107.0, 209.0, 498.0, 36.0], shoonya_7s6BON3ZLV1M11, 5680789]
[paragraph, [107.0, 245.0, 498.0, 36.0], shoonya_7s6BON3ZLV1M11, 5680789]
[paragraph, [107.0, 281.0, 498.0, 36.0], shoonya_7s6BON3ZLV1M11, 5680789]
[paragraph, [660.0, 175.0, 494.0, 36.0], shoonya_5s6O4AS08MCVZ9, 5680789]
[paragraph, [660.0, 211.0, 494.0, 36.0], shoonya_5s6O4AS08MCVZ9, 5680789]
[paragraph, [660.0, 247.0, 494.0, 36.0], shoonya_5s6O4AS08MCVZ9, 5680789]
[paragraph, [660.0, 283.0, 494.0, 36.0], shoonya_5s6O4AS08MCVZ9, 5680789]
[paragraph, [663.0, 323.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 359.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 395.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 431.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 467.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 503.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 539.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 575.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 611.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 647.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 683.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 719.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 755.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 791.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [663.0, 827.0, 493.0, 36.0], shoonya_0s6DZF0SF3TJTA, 5680789]
[paragraph, [112.0, 324.0, 494.0, 36.0], shoonya_9sKVO26BTZ6PAI, 5680789]
[paragraph, [112.0, 360.0, 494.0, 36.0], shoonya_9sKVO26BTZ6PAI, 5680789]
[paragraph, [112.0, 396.0, 494.0, 36.0], shoonya_9sKVO26BTZ6PAI, 5680789]
[paragraph, [112.0, 432.0, 494.0, 36.0], shoonya_9sKVO26BTZ6PAI, 5680789]
[paragraph, [112.0, 468.0, 494.0, 36.0], shoonya_9sKVO26BTZ6PAI, 5680789]
[paragraph, [112.0, 504.0, 494.0, 36.0], shoonya_9sKVO26BTZ6PAI, 5680789]
[paragraph, [111.0, 577.0, 495.0, 36.0], shoonya_8sVO9DKXQ18K2X, 5680789]
[paragraph, [111.0, 613.0, 495.0, 36.0], shoonya_8sVO9DKXQ18K2X, 5680789]
[paragraph, [111.0, 649.0, 495.0, 36.0], shoonya_8sVO9DKXQ18K2X, 5680789]
[paragraph, [111.0, 685.0, 495.0, 36.0], shoonya_8sVO9DKXQ18K2X, 5680789]
[paragraph, [119.0, 802.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [119.0, 838.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [119.0, 874.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [119.0, 910.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [119.0, 946.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [119.0, 982.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [119.0, 1018.0, 488.0, 36.0], shoonya_4sVKDD96B6N7Q1, 5680789]
[paragraph, [665.0, 916.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 952.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 988.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1024.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1060.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1096.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1132.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1168.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1204.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1240.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1276.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1312.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1348.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1384.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [665.0, 1420.0, 493.0, 36.0], shoonya_1sMOJVV3EOHMXD, 5680789]
[paragraph, [121.0, 1090.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1126.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1162.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1198.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1234.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1270.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1306.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1342.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1378.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1414.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1450.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1486.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [121.0, 1522.0, 489.0, 36.0], shoonya_2sXCFZ025GEGPT, 5680789]
[paragraph, [668.0, 1481.0, 493.0, 36.0], shoonya_6sGH8T6IT413PA, 5680789]
[paragraph, [668.0, 1517.0, 493.0, 36.0], shoonya_6sGH8T6IT413PA, 5680789]
[paragraph, [668.0, 1553.0, 493.0, 36.0], shoonya_6sGH8T6IT413PA, 5680789]
[paragraph, [668.0, 1589.0, 493.0, 36.0], shoonya_6sGH8T6IT413PA, 5680789]
[paragraph, [668.0, 1625.0, 493.0, 36.0], shoonya_6sGH8T6IT413PA, 5680789]
